period,node,buyer,inelastic_dem,max_dem
9,3378,3378,804.4089381340605,804.4089381340605
10,3378,3378,815.6167809850725,815.6167809850725
11,3378,3378,822.1494949212714,822.1494949212714
12,3378,3378,811.5276009921545,811.5276009921545
13,3378,3378,797.1157372992317,797.1157372992317
14,3378,3378,775.971686562201,775.971686562201
15,3378,3378,760.8990708228564,760.8990708228564
16,3378,3378,747.8461099487962,747.8461099487962
17,3378,3378,754.9273718118756,754.9273718118756
18,3378,3378,786.9052554497728,786.9052554497728
19,3378,3378,774.787320585575,774.787320585575
20,3378,3378,724.1463222834407,724.1463222834407
21,3378,3378,690.0490477935533,690.0490477935533
22,3378,3378,671.1989281542433,671.1989281542433
23,3378,3378,627.9508678081412,627.9508678081412
24,3378,3378,591.3103222537693,591.3103222537693
1,3379,3379,436.172170323934,436.172170323934
2,3379,3379,427.4470143078531,427.4470143078531
3,3379,3379,430.31099657239383,430.31099657239383
4,3379,3379,441.1770037743108,441.1770037743108
5,3379,3379,465.83008887251736,465.83008887251736
6,3379,3379,533.8425382037765,533.8425382037765
7,3379,3379,586.5740696048433,586.5740696048433
8,3379,3379,607.7637348337934,607.7637348337934
9,3379,3379,613.9293848289986,613.9293848289986
10,3379,3379,622.483272958018,622.483272958018
11,3379,3379,627.4690766431655,627.4690766431655
12,3379,3379,619.3623879970296,619.3623879970296
13,3379,3379,608.3631733043643,608.3631733043643
14,3379,3379,592.2259159388636,592.2259159388636
15,3379,3379,580.7224116017728,580.7224116017728
16,3379,3379,570.760319114092,570.760319114092
17,3379,3379,576.1647776342792,576.1647776342792
18,3379,3379,600.570476650363,600.570476650363
19,3379,3379,591.3220012246276,591.3220012246276
20,3379,3379,552.6725090809011,552.6725090809011
21,3379,3379,526.6492791544911,526.6492791544911
22,3379,3379,512.2627627876304,512.2627627876304
23,3379,3379,479.2556020953099,479.2556020953099
24,3379,3379,451.29133351796895,451.29133351796895
1,3381,3381,130.67439335959807,130.67439335959807
2,3381,3381,128.06039240551968,128.06039240551968
3,3381,3381,128.9184231797746,128.9184231797746
4,3381,3381,132.17380946060266,132.17380946060266
5,3381,3381,139.5597161250699,139.5597161250699
6,3381,3381,159.93581107551617,159.93581107551617
7,3381,3381,175.73384071972632,175.73384071972632
8,3381,3381,182.08212893634868,182.08212893634868
9,3381,3381,183.92931825196388,183.92931825196388
10,3381,3381,186.49200844215943,186.49200844215943
11,3381,3381,187.985723347177,187.985723347177
12,3381,3381,185.55701126267556,185.55701126267556
13,3381,3381,182.2617168693433,182.2617168693433
14,3381,3381,177.427097743693,177.427097743693
15,3381,3381,173.98072139730104,173.98072139730104
16,3381,3381,170.99614218525934,170.99614218525934
17,3381,3381,172.61528340199055,172.61528340199055
18,3381,3381,179.9270747780317,179.9270747780317
19,3381,3381,177.15629067490661,177.15629067490661
20,3381,3381,165.57714995213394,165.57714995213394
21,3381,3381,157.78075665779454,157.78075665779454
22,3381,3381,153.47064834116065,153.47064834116065
23,3381,3381,143.58191404436116,143.58191404436116
24,3381,3381,135.20399798113547,135.20399798113547
1,3394,3394,572.2886355737888,572.2886355737888
2,3394,3394,560.840615797784,560.840615797784
3,3394,3394,564.5983624262868,564.5983624262868
4,3394,3394,578.8553298781574,578.8553298781574
5,3394,3394,611.2019154548093,611.2019154548093
6,3394,3394,700.4390435386823,700.4390435386823
7,3394,3394,769.6265300645207,769.6265300645207
8,3394,3394,797.4288646177205,797.4288646177205
9,3394,3394,805.5186320610698,805.5186320610698
10,3394,3394,816.7419362956606,816.7419362956606
11,3394,3394,823.2836622065383,823.2836622065383
12,3394,3394,812.6471152189735,812.6471152189735
13,3394,3394,798.2153701487329,798.2153701487329
14,3394,3394,777.0421508836278,777.0421508836278
15,3394,3394,761.948742249827,761.948742249827
16,3394,3394,748.8777746248163,748.8777746248163
17,3394,3394,755.9688051924843,755.9688051924843
18,3394,3394,787.9908027898233,787.9908027898233
19,3394,3394,775.856151056768,775.856151056768
20,3394,3394,725.1452927548132,725.1452927548132
21,3394,3394,691.0009805747222,691.0009805747222
22,3394,3394,672.1248569189282,672.1248569189282
23,3394,3394,628.8171352393352,628.8171352393352
24,3394,3394,592.1260435150285,592.1260435150285
1,3566,3566,369.69760711883595,369.69760711883595
2,3566,3566,362.30220337611667,362.30220337611667
3,3566,3566,364.7297021072832,364.7297021072832
4,3566,3566,373.9396818694063,373.9396818694063
5,3566,3566,394.835528026063,394.835528026063
6,3566,3566,452.4825799995618,452.4825799995618
7,3566,3566,497.17759335680535,497.17759335680535
8,3566,3566,515.1378601133343,515.1378601133343
9,3566,3566,520.3638378456294,520.3638378456294
10,3566,3566,527.6140756829311,527.6140756829311
11,3566,3566,531.840020888455,531.840020888455
12,3566,3566,524.9688273597434,524.9688273597434
13,3566,3566,515.6459415161905,515.6459415161905
14,3566,3566,501.96807337284787,501.96807337284787
15,3566,3566,492.2177538516708,492.2177538516708
16,3566,3566,483.7739282131462,483.7739282131462
17,3566,3566,488.35472340969056,488.35472340969056
18,3566,3566,509.04088621463933,509.04088621463933
19,3566,3566,501.2019192492494,501.2019192492494
20,3566,3566,468.4427802347586,468.4427802347586
21,3566,3566,446.3856053669718,446.3856053669718
22,3566,3566,434.1916575695818,434.1916575695818
23,3566,3566,406.2149337986104,406.2149337986104
24,3566,3566,382.5125431344069,382.5125431344069
1,3571,3571,84.7168101263682,84.7168101263682
2,3571,3571,83.02214128725291,83.02214128725291
3,3571,3571,83.57840658389068,83.57840658389068
4,3571,3571,85.68888847977342,85.68888847977342
5,3571,3571,90.47720573473002,90.47720573473002
6,3571,3571,103.6871217913789,103.6871217913789
7,3571,3571,113.92905705758143,113.92905705758143
8,3571,3571,118.04468150127092,118.04468150127092
9,3571,3571,119.242222828957,119.242222828957
10,3571,3571,120.9036266638925,120.9036266638925
11,3571,3571,121.87200890572214,121.87200890572214
12,3571,3571,120.29746369281176,120.29746369281176
13,3571,3571,118.1611091840735,118.1611091840735
14,3571,3571,115.02680337272808,115.02680337272808
15,3571,3571,112.7925017390649,112.7925017390649
16,3571,3571,110.85758531119332,110.85758531119332
17,3571,3571,111.90728200768476,111.90728200768476
18,3571,3571,116.64754998033266,116.64754998033266
19,3571,3571,114.85123790471691,114.85123790471691
20,3571,3571,107.34442772700905,107.34442772700905
21,3571,3571,102.28999010226742,102.28999010226742
22,3571,3571,99.49572706039095,99.49572706039095
23,3571,3571,93.08481514204198,93.08481514204198
24,3571,3571,87.65337363207603,87.65337363207603
1,3572,3572,84.57575802659555,84.57575802659555
2,3572,3572,82.88391078331017,82.88391078331017
3,3572,3572,83.43924990735002,83.43924990735002
4,3572,3572,85.54621788548135,85.54621788548135
5,3572,3572,90.32656267072171,90.32656267072171
6,3572,3572,103.51448443373711,103.51448443373711
7,3572,3572,113.73936704565675,113.73936704565675
8,3572,3572,117.84813904213071,117.84813904213071
9,3572,3572,119.0436864831421,119.0436864831421
10,3572,3572,120.70232410793419,120.70232410793419
11,3572,3572,121.6690940092096,121.6690940092096
12,3572,3572,120.09717038826115,120.09717038826115
13,3572,3572,117.96437287475048,117.96437287475048
14,3572,3572,114.83528563118824,114.83528563118824
15,3572,3572,112.60470407310964,112.60470407310964
16,3572,3572,110.67300924936396,110.67300924936396
17,3572,3572,111.72095821806745,111.72095821806745
18,3572,3572,116.4533337222663,116.4533337222663
19,3572,3572,114.6600124768026,114.6600124768026
20,3572,3572,107.16570101495267,107.16570101495267
21,3572,3572,102.11967894597946,102.11967894597946
22,3572,3572,99.33006830625064,99.33006830625064
23,3572,3572,92.92983045112703,92.92983045112703
24,3572,3572,87.50743220221672,87.50743220221672
1,3573,3573,269.6269425497969,269.6269425497969
2,3573,3573,264.2333450212369,264.2333450212369
3,3573,3573,266.0037623794362,266.0037623794362
4,3573,3573,272.72076199314625,272.72076199314625
5,3573,3573,287.9604687229744,287.9604687229744
6,3573,3573,330.00347379340616,330.00347379340616
7,3573,3573,362.6003301611084,362.6003301611084
8,3573,3573,375.699067398499,375.699067398499
9,3573,3573,379.5104645259331,379.5104645259331
10,3573,3573,384.7981900161394,384.7981900161394
11,3573,3573,387.88024589967154,387.88024589967154
12,3573,3573,382.8689640651669,382.8689640651669
13,3573,3573,376.0696200679797,376.0696200679797
14,3573,3573,366.0941111734812,366.0941111734812
15,3573,3573,358.9830323058987,358.9830323058987
16,3573,3573,352.82480231874285,352.82480231874285
17,3573,3573,356.16565651825096,356.16565651825096
18,3573,3573,371.25243750569945,371.25243750569945
19,3573,3573,365.535341546927,365.535341546927
20,3573,3573,341.64352747250774,341.64352747250774
21,3573,3573,325.5568433653642,325.5568433653642
22,3573,3573,316.6635835797653,316.6635835797653
23,3573,3573,296.25966873781033,296.25966873781033
24,3573,3573,278.97309992359624,278.97309992359624
1,3600,3600,427.9543836049842,427.9543836049842
2,3600,3600,419.39361559003703,419.39361559003703
3,3600,3600,422.2036384389658,422.2036384389658
4,3600,3600,432.8649225160543,432.8649225160543
5,3600,3600,457.05352636331196,457.05352636331196
6,3600,3600,523.7845738976097,523.7845738976097
7,3600,3600,575.5226066119176,575.5226066119176
8,3600,3600,596.313043826462,596.313043826462
9,3600,3600,602.3625286921804,602.3625286921804
10,3600,3600,610.7552556260462,610.7552556260462
11,3600,3600,615.6471233058851,615.6471233058851
12,3600,3600,607.6931703059536,607.6931703059536
13,3600,3600,596.9011884597882,596.9011884597882
14,3600,3600,581.0679682343922,581.0679682343922
15,3600,3600,569.7811979110568,569.7811979110568
16,3600,3600,560.0067981669945,560.0067981669945
17,3600,3600,565.3094329339209,565.3094329339209
18,3600,3600,589.2553116247142,589.2553116247142
19,3600,3600,580.1810839013658,580.1810839013658
20,3600,3600,542.2597750413115,542.2597750413115
21,3600,3600,516.7268408463201,516.7268408463201
22,3600,3600,502.6113764428246,502.6113764428246
23,3600,3600,470.2260935896293,470.2260935896293
24,3600,3600,442.78869126042457,442.78869126042457
1,3602,3602,35.61026280243755,35.61026280243755
2,3602,3602,34.89791772435943,34.89791772435943
3,3602,3602,35.131740897960974,35.131740897960974
4,3602,3602,36.01887079390566,36.01887079390566
5,3602,3602,38.03161461152703,38.03161461152703
6,3602,3602,43.58433291706425,43.58433291706425
7,3602,3602,47.88947620434091,47.88947620434091
8,3602,3602,49.61945715873832,49.61945715873832
9,3602,3602,50.12283731826121,50.12283731826121
10,3602,3602,50.82119962787579,50.82119962787579
11,3602,3602,51.228253978403494,51.228253978403494
12,3602,3602,50.56640223088819,50.56640223088819
13,3602,3602,49.66839691905147,49.66839691905147
14,3602,3602,48.35090805847316,48.35090805847316
15,3602,3602,47.41173119102526,47.41173119102526
16,3602,3602,46.59839931044003,46.59839931044003
17,3602,3602,47.03963376165641,47.03963376165641
18,3602,3602,49.032180317743396,49.032180317743396
19,3602,3602,48.277110043113694,48.277110043113694
20,3602,3602,45.12166211208983,45.12166211208983
21,3602,3602,42.9970560053786,42.9970560053786
22,3602,3602,41.82250232338877,41.82250232338877
23,3602,3602,39.127709426026954,39.127709426026954
24,3602,3602,36.844631731323304,36.844631731323304
1,3741,3741,218.81188400765546,218.81188400765546
2,3741,3741,214.43478717288608,214.43478717288608
3,3741,3741,215.8715440265002,215.8715440265002
4,3741,3741,221.32262887156588,221.32262887156588
5,3741,3741,233.69019462646804,233.69019462646804
6,3741,3741,267.8095933104684,267.8095933104684
7,3741,3741,294.2631052892521,294.2631052892521
8,3741,3741,304.89319791252666,304.89319791252666
9,3741,3741,307.9862826698157,307.9862826698157
10,3741,3741,312.2774605680098,312.2774605680098
11,3741,3741,314.7786588834118,314.7786588834118
12,3741,3741,310.7118248751644,310.7118248751644
13,3741,3741,305.1939146249085,305.1939146249085
14,3741,3741,297.09843323681537,297.09843323681537
15,3741,3741,291.32753901671947,291.32753901671947
16,3741,3741,286.3299156601695,286.3299156601695
17,3741,3741,289.04113804275556,289.04113804275556
18,3741,3741,301.28459910141737,301.28459910141737
19,3741,3741,296.6449717482996,296.6449717482996
20,3741,3741,277.2559121812321,277.2559121812321
21,3741,3741,264.2009940649908,264.2009940649908
22,3741,3741,256.9837964427724,256.9837964427724
23,3741,3741,240.42529154901402,240.42529154901402
24,3741,3741,226.39662418181433,226.39662418181433
1,3743,3743,256.20078268631596,256.20078268631596
2,3743,3743,251.0757610722135,251.0757610722135
3,3743,3743,252.7580199316683,252.7580199316683
4,3743,3743,259.1405444007071,259.1405444007071
5,3743,3743,273.6213850584273,273.6213850584273
6,3743,3743,313.5708452409534,313.5708452409534
7,3743,3743,344.54453071742,344.54453071742
8,3743,3743,356.9910121435188,356.9910121435188
9,3743,3743,360.6126195316479,360.6126195316479
10,3743,3743,365.63704103941706,365.63704103941706
11,3743,3743,368.56562496421554,368.56562496421554
12,3743,3743,363.80388151187236,363.80388151187236
13,3743,3743,357.3431130242753,357.3431130242753
14,3743,3743,347.8643377865492,347.8643377865492
15,3743,3743,341.10735736615857,341.10735736615857
16,3743,3743,335.25577841135777,335.25577841135777
17,3743,3743,338.4302737071933,338.4302737071933
18,3743,3743,352.7658036087998,352.7658036087998
19,3743,3743,347.33339227231113,347.33339227231113
20,3743,3743,324.63127872321115,324.63127872321115
21,3743,3743,309.34563619764447,309.34563619764447
22,3743,3743,300.8952191282065,300.8952191282065
23,3743,3743,281.5073237534394,281.5073237534394
24,3743,3743,265.08154516365863,265.08154516365863
1,3745,3745,235.5306020114112,235.5306020114112
2,3745,3745,230.81906517130335,230.81906517130335
3,3745,3745,232.36560003256307,232.36560003256307
4,3745,3745,238.2331848805994,238.2331848805994
5,3745,3745,251.54571687984813,251.54571687984813
6,3745,3745,288.2720699696502,288.2720699696502
7,3745,3745,316.7468104067875,316.7468104067875
8,3745,3745,328.1891144953046,328.1891144953046
9,3745,3745,331.51853199134484,331.51853199134484
10,3745,3745,336.1375851030321,336.1375851030321
11,3745,3745,338.8298920023957,338.8298920023957
12,3745,3745,334.45232418158446,334.45232418158446
13,3745,3745,328.5128080123336,328.5128080123336
14,3745,3745,319.7987767175661,319.7987767175661
15,3745,3745,313.5869468804088,313.5869468804088
16,3745,3745,308.20747106659365,308.20747106659365
17,3745,3745,311.12584930209647,311.12584930209647
18,3745,3745,324.30479416118374,324.30479416118374
19,3745,3745,319.31066768334483,319.31066768334483
20,3745,3745,298.4401519296998,298.4401519296998
21,3745,3745,284.3877491679723,284.3877491679723
22,3745,3745,276.61910849973077,276.61910849973077
23,3745,3745,258.79542107195203,258.79542107195203
24,3745,3745,243.6948679854534,243.6948679854534
1,3747,3747,184.58275865619734,184.58275865619734
2,3747,3747,180.89037872751499,180.89037872751499
3,3747,3747,182.10238119603272,182.10238119603272
4,3747,3747,186.70074331395136,186.70074331395136
5,3747,3747,197.13362914761976,197.13362914761976
6,3747,3747,225.9156706776999,225.9156706776999
7,3747,3747,248.2310135546792,248.2310135546792
8,3747,3747,257.19822221463596,257.19822221463596
9,3747,3747,259.8074503187086,259.8074503187086
10,3747,3747,263.4273517601927,263.4273517601927
11,3747,3747,265.5372832527024,265.5372832527024
12,3747,3747,262.1066311944582,262.1066311944582
13,3747,3747,257.45189728624916,257.45189728624916
14,3747,3747,250.62280619715708,250.62280619715708
15,3747,3747,245.7546630435561,245.7546630435561
16,3747,3747,241.53882664115866,241.53882664115866
17,3747,3747,243.8259277690419,243.8259277690419
18,3747,3747,254.15412282095443,254.15412282095443
19,3747,3747,250.24028048163584,250.24028048163584
20,3747,3747,233.88428538169217,233.88428538169217
21,3747,3747,222.87157091759903,222.87157091759903
22,3747,3747,216.78337213023602,216.78337213023602
23,3747,3747,202.81514309014813,202.81514309014813
24,3747,3747,190.98100467188337,190.98100467188337
1,3748,3748,238.79590548347392,238.79590548347392
2,3748,3748,234.01904975286365,234.01904975286365
3,3748,3748,235.58702516413686,235.58702516413686
4,3748,3748,241.53595589679836,241.53595589679836
5,3748,3748,255.03304759482026,255.03304759482026
6,3748,3748,292.2685603744299,292.2685603744299
7,3748,3748,321.1380633945244,321.1380633945244
8,3748,3748,332.73899907889165,332.73899907889165
9,3748,3748,336.1145743073748,336.1145743073748
10,3748,3748,340.7976641515904,340.7976641515904
11,3748,3748,343.52729613309316,343.52729613309316
12,3748,3748,339.089039436686,339.089039436686
13,3748,3748,333.0671801553122,333.0671801553122
14,3748,3748,324.2323409638235,324.2323409638235
15,3748,3748,317.9343927651373,317.9343927651373
16,3748,3748,312.4803380180425,312.4803380180425
17,3748,3748,315.43917549962123,315.43917549962123
18,3748,3748,328.80082805800106,328.80082805800106
19,3748,3748,323.73746497825675,323.73746497825675
20,3748,3748,302.5776086167581,302.5776086167581
21,3748,3748,288.3303888795003,288.3303888795003
22,3748,3748,280.4540468377192,280.4540468377192
23,3748,3748,262.38325882960885,262.38325882960885
24,3748,3748,247.07335762442702,247.07335762442702
1,3749,3749,96.91857277927583,96.91857277927583
2,3749,3749,94.9798207774527,94.9798207774527
3,3749,3749,95.61620496798531,95.61620496798531
4,3749,3749,98.03065958354915,98.03065958354915
5,3749,3749,103.50863820045566,103.50863820045566
6,3749,3749,118.62117854321295,118.62117854321295
7,3749,3749,130.3382598050949,130.3382598050949
8,3749,3749,135.04665766123344,135.04665766123344
9,3749,3749,136.41668087327847,136.41668087327847
10,3749,3749,138.3173767121772,138.3173767121772
11,3749,3749,139.42523505390332,139.42523505390332
12,3749,3749,137.62390808486276,137.62390808486276
13,3749,3749,135.17985442386404,135.17985442386404
14,3749,3749,131.59411452836676,131.59411452836676
15,3749,3749,129.0380064174732,129.0380064174732
16,3749,3749,126.82440396529447,126.82440396529447
17,3749,3749,128.02528848305803,128.02528848305803
18,3749,3749,133.44829727924676,133.44829727924676
19,3749,3749,131.3932623649816,131.3932623649816
20,3749,3749,122.80524627392323,122.80524627392323
21,3749,3749,117.02281796883105,117.02281796883105
22,3749,3749,113.82609720485775,113.82609720485775
23,3749,3749,106.49182160579763,106.49182160579763
24,3749,3749,100.27808954370987,100.27808954370987
1,3750,3750,45.43951992987965,45.43951992987965
2,3750,3750,44.53055111513485,44.53055111513485
3,3750,3750,44.82891489907771,44.82891489907771
4,3750,3750,45.960913188750865,45.960913188750865
5,3750,3750,48.529220907285534,48.529220907285534
6,3750,3750,55.61461804432085,55.61461804432085
7,3750,3750,61.10808056911313,61.10808056911313
8,3750,3750,63.31557632649553,63.31557632649553
9,3750,3750,63.957901066356214,63.957901066356214
10,3750,3750,64.84902754475549,64.84902754475549
11,3750,3750,65.3684383218105,65.3684383218105
12,3750,3750,64.5239001660913,64.5239001660913
13,3750,3750,63.37802459390794,63.37802459390794
14,3750,3750,61.69687829993719,61.69687829993719
15,3750,3750,60.49846686942229,60.49846686942229
16,3750,3750,59.460636556220294,59.460636556220294
17,3750,3750,60.023661933231104,60.023661933231104
18,3750,3750,62.56619747835855,62.56619747835855
19,3750,3750,61.60271032346602,61.60271032346602
20,3750,3750,57.57628569568592,57.57628569568592
21,3750,3750,54.86523910598087,54.86523910598087
22,3750,3750,53.366481409706935,53.366481409706935
23,3750,3750,49.9278632718428,49.9278632718428
24,3750,3750,47.01460326627921,47.01460326627921
1,3751,3751,66.02787452708924,66.02787452708924
2,3751,3751,64.70705778119002,64.70705778119002
3,3751,3751,65.14060827908276,65.14060827908276
4,3751,3751,66.78550772235944,66.78550772235944
5,3751,3751,70.51749917050965,70.51749917050965
6,3751,3751,80.81324423693434,80.81324423693434
7,3751,3751,88.79575934417994,88.79575934417994
8,3751,3751,92.00345724927338,92.00345724927338
9,3751,3751,92.93681520276,92.93681520276
10,3751,3751,94.23170536432667,94.23170536432667
11,3751,3751,94.98645782800433,94.98645782800433
12,3751,3751,93.75926485886164,93.75926485886164
13,3751,3751,92.0942004255108,92.0942004255108
14,3751,3751,89.65133754466883,89.65133754466883
15,3751,3751,87.90993359304314,87.90993359304314
16,3751,3751,86.40186903148401,86.40186903148401
17,3751,3751,87.21999759019687,87.21999759019687
18,3751,3751,90.9145396587179,90.9145396587179
19,3751,3751,89.51450266295127,89.51450266295127
20,3751,3751,83.66373090026309,83.66373090026309
21,3751,3751,79.72432651530544,79.72432651530544
22,3751,3751,77.54649133419449,77.54649133419449
23,3751,3751,72.54985740619894,72.54985740619894
24,3751,3751,68.3166180055852,68.3166180055852
1,3752,3752,155.7741179843261,155.7741179843261
2,3752,3752,152.6580239848597,152.6580239848597
3,3752,3752,153.68086391261176,153.68086391261176
4,3752,3752,157.56153948765558,157.56153948765558
5,3752,3752,166.3661190735415,166.3661190735415
6,3752,3752,190.65602115203092,190.65602115203092
7,3752,3752,209.48851059734213,209.48851059734213
8,3752,3752,217.05616767406812,217.05616767406812
9,3752,3752,219.2581621045928,219.2581621045928
10,3752,3752,222.31308965222834,222.31308965222834
11,3752,3752,224.09371488313215,224.09371488313215
12,3752,3752,221.19849973749936,221.19849973749936
13,3752,3752,217.27025056470669,217.27025056470669
14,3752,3752,211.50700567237433,211.50700567237433
15,3752,3752,207.39865497107132,207.39865497107132
16,3752,3752,203.84080264547646,203.84080264547646
17,3752,3752,205.77094586974454,205.77094586974454
18,3752,3752,214.48717422332774,214.48717422332774
19,3752,3752,211.18418242292537,211.18418242292537
20,3752,3752,197.3809392110538,197.3809392110538
21,3752,3752,188.08702739205987,188.08702739205987
22,3752,3752,182.94904049057916,182.94904049057916
23,3752,3752,171.16089421752702,171.16089421752702
24,3752,3752,161.1737616834249,161.1737616834249
1,3754,3754,148.84608453801985,148.84608453801985
2,3754,3754,145.86857841007853,145.86857841007853
3,3754,3754,146.84592766632892,146.84592766632892
4,3754,3754,150.5540107046532,150.5540107046532
