id,complex_order_id,t,p,q
9507928_01_01,9507928,1,0.1,156.2
9507928_01_02,9507928,1,131.4,25.0
9507928_01_03,9507928,1,131.5,25.0
9507928_01_04,9507928,1,131.6,25.0
9507928_01_05,9507928,1,131.7,25.0
9507928_01_06,9507928,1,131.8,25.0
9507928_01_07,9507928,1,131.9,128.1
9507928_01_08,9507928,1,407.58,430.0
9507928_02_01,9507928,2,0.1,156.2
9507928_02_02,9507928,2,131.4,25.0
9507928_02_03,9507928,2,131.5,25.0
9507928_02_04,9507928,2,131.6,25.0
9507928_02_05,9507928,2,131.7,25.0
9507928_02_06,9507928,2,131.8,25.0
9507928_02_07,9507928,2,131.9,128.1
9507928_02_08,9507928,2,407.58,430.0
9507928_03_01,9507928,3,0.1,156.2
9507928_03_02,9507928,3,131.4,25.0
9507928_03_03,9507928,3,131.5,25.0
9507928_03_04,9507928,3,131.6,25.0
9507928_03_05,9507928,3,131.7,25.0
9507928_03_06,9507928,3,131.8,25.0
9507928_03_07,9507928,3,131.9,128.1
9507928_03_08,9507928,3,407.58,430.0
9507928_04_01,9507928,4,0.1,156.2
9507928_04_02,9507928,4,131.4,25.0
9507928_04_03,9507928,4,131.5,25.0
9507928_04_04,9507928,4,131.6,25.0
9507928_04_05,9507928,4,131.7,25.0
9507928_04_06,9507928,4,131.8,25.0
9507928_04_07,9507928,4,131.9,127.9
9507928_04_08,9507928,4,407.58,430.2
9507928_05_01,9507928,5,0.1,156.1
9507928_05_02,9507928,5,131.4,25.0
9507928_05_03,9507928,5,131.5,25.0
9507928_05_04,9507928,5,131.6,25.0
9507928_05_05,9507928,5,131.7,25.0
9507928_05_06,9507928,5,131.8,25.0
9507928_05_07,9507928,5,131.9,127.5
9507928_05_08,9507928,5,220.23,15.0
9507928_05_09,9507928,5,407.58,415.7
9507928_06_01,9507928,6,0.1,156.1
9507928_06_02,9507928,6,131.4,25.0
9507928_06_03,9507928,6,131.5,25.0
9507928_06_04,9507928,6,131.6,25.0
9507928_06_05,9507928,6,131.7,25.0
9507928_06_06,9507928,6,131.8,25.0
9507928_06_07,9507928,6,131.9,127.3
9507928_06_08,9507928,6,220.23,110.0
9507928_06_09,9507928,6,407.58,320.9
9507928_07_01,9507928,7,0.1,156.1
9507928_07_02,9507928,7,132.91,25.0
9507928_07_03,9507928,7,133.01,25.0
9507928_07_04,9507928,7,133.11,25.0
9507928_07_05,9507928,7,133.21,25.0
9507928_07_06,9507928,7,133.31,25.0
9507928_07_07,9507928,7,133.41,127.3
9507928_07_08,9507928,7,218.25,156.1
9507928_07_09,9507928,7,218.35,50.0
9507928_07_10,9507928,7,218.45,50.0
9507928_07_11,9507928,7,218.55,50.0
9507928_07_12,9507928,7,218.65,50.0
9507928_07_13,9507928,7,218.75,50.0
9507928_07_14,9507928,7,218.85,2.3
9507928_07_15,9507928,7,407.58,22.5
9507928_08_01,9507928,8,0.1,156.1
9507928_08_02,9507928,8,132.91,25.0
9507928_08_03,9507928,8,133.01,25.0
9507928_08_04,9507928,8,133.11,25.0
9507928_08_05,9507928,8,133.21,25.0
9507928_08_06,9507928,8,133.31,25.0
9507928_08_07,9507928,8,133.41,126.8
9507928_08_08,9507928,8,218.25,156.1
9507928_08_09,9507928,8,218.35,50.0
9507928_08_10,9507928,8,218.45,50.0
9507928_08_11,9507928,8,218.55,50.0
9507928_08_12,9507928,8,218.65,50.0
9507928_08_13,9507928,8,218.75,50.0
9507928_08_14,9507928,8,218.85,1.8
9507928_08_15,9507928,8,407.58,23.5
9507928_09_01,9507928,9,0.1,156.0
9507928_09_02,9507928,9,132.91,25.0
9507928_09_03,9507928,9,133.01,25.0
9507928_09_04,9507928,9,133.11,25.0
9507928_09_05,9507928,9,133.21,25.0
9507928_09_06,9507928,9,133.31,25.0
9507928_09_07,9507928,9,133.41,126.4
9507928_09_08,9507928,9,218.25,156.0
9507928_09_09,9507928,9,218.35,50.0
9507928_09_10,9507928,9,218.45,50.0
9507928_09_11,9507928,9,218.55,50.0
9507928_09_12,9507928,9,218.65,50.0
9507928_09_13,9507928,9,218.75,50.0
9507928_09_14,9507928,9,218.85,1.4
9507928_09_15,9507928,9,407.58,24.5
9507928_10_01,9507928,10,0.1,156.0
9507928_10_02,9507928,10,132.91,25.0
9507928_10_03,9507928,10,133.01,25.0
9507928_10_04,9507928,10,133.11,25.0
9507928_10_05,9507928,10,133.21,25.0
9507928_10_06,9507928,10,133.31,25.0
9507928_10_07,9507928,10,133.41,125.5
9507928_10_08,9507928,10,218.25,156.0
9507928_10_09,9507928,10,218.35,50.0
9507928_10_10,9507928,10,218.45,50.0
9507928_10_11,9507928,10,218.55,50.0
9507928_10_12,9507928,10,218.65,50.0
9507928_10_13,9507928,10,218.75,50.0
9507928_10_14,9507928,10,218.85,0.5
9507928_10_15,9507928,10,407.58,26.3
9507928_11_01,9507928,11,0.1,155.8
9507928_11_02,9507928,11,132.91,25.0
9507928_11_03,9507928,11,133.01,25.0
9507928_11_04,9507928,11,133.11,25.0
9507928_11_05,9507928,11,133.21,25.0
9507928_11_06,9507928,11,133.31,25.0
9507928_11_07,9507928,11,133.41,124.3
9507928_11_08,9507928,11,218.25,155.8
9507928_11_09,9507928,11,218.35,50.0
9507928_11_10,9507928,11,218.45,50.0
9507928_11_11,9507928,11,218.55,50.0
9507928_11_12,9507928,11,218.65,50.0
9507928_11_13,9507928,11,218.75,49.3
9507928_11_14,9507928,11,407.58,29.1
9507928_12_01,9507928,12,0.1,155.8
9507928_12_02,9507928,12,132.91,25.0
9507928_12_03,9507928,12,133.01,25.0
9507928_12_04,9507928,12,133.11,25.0
9507928_12_05,9507928,12,133.21,25.0
9507928_12_06,9507928,12,133.31,25.0
9507928_12_07,9507928,12,133.41,124.3
9507928_12_08,9507928,12,218.25,155.8
9507928_12_09,9507928,12,218.35,50.0
9507928_12_10,9507928,12,218.45,50.0
9507928_12_11,9507928,12,218.55,50.0
9507928_12_12,9507928,12,218.65,50.0
9507928_12_13,9507928,12,218.75,49.3
9507928_12_14,9507928,12,407.58,29.1
9507928_13_01,9507928,13,0.1,155.6
9507928_13_02,9507928,13,132.91,25.0
9507928_13_03,9507928,13,133.01,25.0
9507928_13_04,9507928,13,133.11,25.0
9507928_13_05,9507928,13,133.21,25.0
9507928_13_06,9507928,13,133.31,25.0
9507928_13_07,9507928,13,133.41,121.3
9507928_13_08,9507928,13,218.25,155.6
9507928_13_09,9507928,13,218.35,50.0
9507928_13_10,9507928,13,218.45,50.0
9507928_13_11,9507928,13,218.55,50.0
9507928_13_12,9507928,13,218.65,50.0
9507928_13_13,9507928,13,218.75,46.3
9507928_13_14,9507928,13,407.58,35.5
9507928_14_01,9507928,14,0.1,155.5
9507928_14_02,9507928,14,132.91,25.0
9507928_14_03,9507928,14,133.01,25.0
9507928_14_04,9507928,14,133.11,25.0
9507928_14_05,9507928,14,133.21,25.0
9507928_14_06,9507928,14,133.31,25.0
9507928_14_07,9507928,14,133.41,120.6
9507928_14_08,9507928,14,218.25,155.5
9507928_14_09,9507928,14,218.35,50.0
9507928_14_10,9507928,14,218.45,50.0
9507928_14_11,9507928,14,218.55,50.0
9507928_14_12,9507928,14,218.65,50.0
9507928_14_13,9507928,14,218.75,45.6
9507928_14_14,9507928,14,407.58,37.1
9507928_15_01,9507928,15,0.1,155.5
9507928_15_02,9507928,15,132.91,25.0
9507928_15_03,9507928,15,133.01,25.0
9507928_15_04,9507928,15,133.11,25.0
9507928_15_05,9507928,15,133.21,25.0
9507928_15_06,9507928,15,133.31,25.0
9507928_15_07,9507928,15,133.41,119.9
9507928_15_08,9507928,15,218.25,155.5
9507928_15_09,9507928,15,218.35,50.0
9507928_15_10,9507928,15,218.45,50.0
9507928_15_11,9507928,15,218.55,50.0
9507928_15_12,9507928,15,218.65,50.0
9507928_15_13,9507928,15,218.75,44.9
9507928_15_14,9507928,15,407.58,38.5
9507928_16_01,9507928,16,0.1,155.4
9507928_16_02,9507928,16,132.91,25.0
9507928_16_03,9507928,16,133.01,25.0
9507928_16_04,9507928,16,133.11,25.0
9507928_16_05,9507928,16,133.21,25.0
9507928_16_06,9507928,16,133.31,25.0
9507928_16_07,9507928,16,133.41,119.7
9507928_16_08,9507928,16,218.25,155.4
9507928_16_09,9507928,16,218.35,50.0
9507928_16_10,9507928,16,218.45,50.0
9507928_16_11,9507928,16,218.55,50.0
9507928_16_12,9507928,16,218.65,50.0
9507928_16_13,9507928,16,218.75,44.7
9507928_16_14,9507928,16,407.58,39.1
9507928_17_01,9507928,17,0.1,155.4
9507928_17_02,9507928,17,132.91,25.0
9507928_17_03,9507928,17,133.01,25.0
