id,t,p,q
711,2,-286.6,-133
712,2,-499,-1.9
713,2,-500,-5.8
714,3,4000,29.4
715,3,3000,2.1
716,3,853,0.4
717,3,700,7.5
718,3,400,1
719,3,317.5,6.2
720,3,262,543.1
721,3,261.5,406
722,3,261,3030
723,3,260,369
724,3,259,378
725,3,258,2817
726,3,257.5,30
727,3,257,1229
728,3,256.9,459.1
729,3,256,444.7
730,3,255,1233.3
731,3,254.2,1970
732,3,254.13,386.6
733,3,253.79,103
734,3,253.15,103
735,3,248.61,88.9
736,3,247.5,10
737,3,245.2,247.2
738,3,243.97,75
739,3,240.13,477.1
740,3,240,113.1
741,3,237.5,10
742,3,231.6,44.7
743,3,229,45
744,3,228,58
745,3,227.5,10
746,3,221.31,10.4
747,3,221,1911
748,3,220,73.2
749,3,217.5,10
750,3,210,321.5
751,3,207.72,2
752,3,207.5,10
753,3,201.36,40
754,3,201.25,60
755,3,200,121
756,3,197.5,10
757,3,195,139
758,3,192.5,30
759,3,190,160.1
760,3,187.5,10
761,3,187.17,182
762,3,185,1078.2
763,3,184.89,59
764,3,182.15,15.8
765,3,180,364.3
766,3,179.32,370
767,3,177.5,10
768,3,176.85,380
769,3,173.47,400
770,3,172.94,400
771,3,170,510
772,3,168.57,345
773,3,167.5,10
774,3,167.09,132
775,3,165,23
776,3,164.72,194
777,3,164.28,219
778,3,163.86,175
779,3,162.5,52.6
780,3,160,204
781,3,159.5,207
782,3,158.88,200
783,3,157.5,50.1
784,3,155,50
785,3,150,121.5
786,3,145.1,369
787,3,145,64
788,3,144.93,47
789,3,144,27
790,3,141.87,60
791,3,140.66,1.4
792,3,140,152
793,3,139.12,50
794,3,139,20
795,3,138.32,20
796,3,138.1,63
797,3,137.4,7.9
798,3,136.23,92.4
799,3,135.25,85
800,3,135,58
801,3,133.85,390
802,3,133.25,66
803,3,133.06,60
804,3,132.5,56
805,3,132.49,102
806,3,132.08,15
807,3,131.3,1.5
808,3,131.09,400
809,3,130.22,9.6
810,3,130,69
811,3,128.5,156
812,3,128,57.9
813,3,127.17,720
814,3,126.22,30.7
815,3,125.8,5
816,3,125.5,25
817,3,125,99
818,3,124.3,41.7
819,3,123.5,13
820,3,120.11,420.6
821,3,120,58
822,3,118.8,25
823,3,116.65,229
824,3,116,56
825,3,115.84,186
826,3,115,12
827,3,114.97,25
828,3,114.21,28.8
829,3,113.52,157
830,3,113.33,30.8
831,3,112.14,234
832,3,112,78
833,3,111.99,40.1
834,3,111.75,35.7
835,3,111.1,485
836,3,110.5,1
837,3,110.4,17.8
838,3,110,132.8
839,3,109.81,50
840,3,109.41,199
841,3,109.12,114
842,3,108,26.5
843,3,107.39,89
844,3,106.73,4
845,3,106.66,216.2
846,3,106.46,2.6
847,3,105.91,18.4
848,3,105.7,180
849,3,105.38,110
850,3,105.28,200
851,3,105.25,143
852,3,105,5
853,3,104.39,60
854,3,103.82,70
855,3,103.09,166
856,3,102.69,0.4
857,3,102.38,60
858,3,101.39,60
859,3,101.32,60
860,3,101.21,11.6
861,3,100.87,5.1
862,3,100.5,46.9
863,3,100.28,45
864,3,100.08,25.5
865,3,100,401.8
866,3,99.77,206
867,3,99.55,207
868,3,99.38,60
869,3,98.82,60
870,3,98.48,174
871,3,98.04,175
872,3,97.79,174.7
873,3,97.34,163
874,3,95.87,53
875,3,95.32,3.9
876,3,95,161.8
877,3,92.67,2.4
878,3,91.99,27
879,3,90,13.2
880,3,89.02,11.9
881,3,88.49,7
882,3,86.32,0.6
883,3,85.95,6.5
884,3,82.54,9.2
885,3,81.51,10
886,3,80.67,0.8
887,3,76.7,1.1
888,3,76.63,9.1
889,3,76.1,2.7
890,3,76.03,0.8
891,3,76.02,5.2
892,3,75.67,0.3
893,3,75,295
894,3,74.4,1
895,3,73.32,2.9
896,3,73.11,1.7
897,3,72.4,1.1
898,3,72.24,2.4
899,3,70.67,3.3
900,3,70.24,2.7
901,3,68.08,2.9
902,3,67.5,105.9
903,3,66.26,4.2
904,3,66.06,1.8
905,3,66,6.8
906,3,65.67,3.4
907,3,60.83,14.1
908,3,60.71,7.4
909,3,55.94,0.5
910,3,50.98,0.5
911,3,50,34.3
912,3,45.74,1.9
913,3,41.63,0.5
914,3,41.56,1.2
915,3,40.6,2.7
916,3,40.55,28.9
917,3,40.43,5.7
918,3,39.49,0.9
919,3,35.6,49.9
920,3,35.46,1
921,3,34.59,1
922,3,34.35,0.2
923,3,32.34,6
924,3,31,21.6
925,3,30.6,26.4
926,3,30.32,1
927,3,30,40
928,3,29.8,189
929,3,28.42,4
930,3,25.5,61
931,3,25.49,19.6
932,3,25.48,0.3
933,3,25.4,4
934,3,25.28,0.3
935,3,25.25,1.8
936,3,22.23,1
937,3,20.31,5
938,3,20,32
939,3,15.82,5.9
940,3,15.28,2.5
941,3,15.26,0.7
942,3,12.5,44.7
943,3,11.07,20
944,3,10,17.8
945,3,6,0.1
946,3,5,113.5
947,3,3,66
948,3,1,848
949,3,0.2,52.7
950,3,0.1,8.4
951,3,0.01,148.3
952,3,0,11070.7
953,3,-0.01,304.2
954,3,-0.99,1.1
955,3,-1,207.7
956,3,-2,37.5
957,3,-5,31
958,3,-5.05,2.4
959,3,-5.07,1
960,3,-5.5,464.8
961,3,-10,80.1
962,3,-50,100
963,3,-100,314
964,3,-500,1339.3
965,3,4000,-14702.1
966,3,3999,-2.7
967,3,3950,-12.2
968,3,3500,-0.1
969,3,3000,-2568.3
970,3,2000,-8
971,3,1100,-1268.7
972,3,1000,-133
973,3,999,-9.6
974,3,900,-2.1
975,3,853,-87.6
976,3,802,-31
977,3,800,-1553.1
978,3,791,-8
979,3,777,-2.1
980,3,776.83,-326.5
981,3,700,-89.8
982,3,650,-25.8
983,3,600,-0.1
984,3,501,-68.6
985,3,500.13,-0.5
986,3,500,-753.4
987,3,400,-239.7
988,3,375,-334.9
989,3,350,-462.3
990,3,320,-377.9
991,3,310.88,-157.7
992,3,300,-446.1
993,3,288,-1.7
994,3,280,-1.2
995,3,278.34,-0.3
996,3,276.11,-2.4
997,3,275,-0.2
998,3,268.5,-255.8
999,3,265.98,-3.9
1000,3,250,-44.4
1001,3,200.08,-21.1
1002,3,200.02,-20
1003,3,200.01,-29
1004,3,200,-16.7
1005,3,195.03,-2.8
1006,3,190,-12.8
1007,3,180,-4.3
1008,3,176.11,-0.3
1009,3,175.98,-5
1010,3,171.16,-4.6
1011,3,165.98,-3.9
1012,3,165.55,-20.9
1013,3,165,-5
1014,3,162.68,-40.1
1015,3,137,-18
1016,3,136.23,-78.6
1017,3,135,-25.4
1018,3,132.68,-14.7
1019,3,122,-30
1020,3,112.14,-18.4
1021,3,111.28,-26.2
1022,3,111.23,-10
1023,3,110.3,-25
1024,3,110,-68.9
1025,3,109.8,-292
1026,3,109.5,-1
1027,3,108.68,-22.2
1028,3,107.87,-0.4
1029,3,106.68,-18.4
1030,3,106.23,-1
1031,3,105,-177
1032,3,104.8,-25
1033,3,104.66,-25
1034,3,103.9,-8
1035,3,103.3,-25
1036,3,103,-200
1037,3,101.45,-1.4
1038,3,100,-200
1039,3,99.5,-46.9
1040,3,97.8,-25
1041,3,96,-123
1042,3,95.32,-21
1043,3,95.21,-1
1044,3,95.2,-1
1045,3,94.66,-25
1046,3,94.52,-40
1047,3,91.2,-3
1048,3,90,-34
1049,3,85,-48.4
1050,3,80.03,-0.3
1051,3,75,-39
1052,3,74.99,-37
1053,3,72.5,-179.5
1054,3,72,-14
1055,3,69,-100
1056,3,65.26,-18
1057,3,60,-13.3
1058,3,58.74,-19.5
1059,3,57.24,-25
1060,3,55.03,-2.3
1061,3,44.24,-25
1062,3,42.5,-60
1063,3,33.2,-2
1064,3,17.3,-50
1065,3,11.8,-50
1066,3,1,-0.2
1067,3,-282.7,-150
1068,3,-288.2,-133
1069,3,-499,-1.9
1070,3,-500,-6.2
1071,4,4000,29.4
1072,4,3000,2.2
1073,4,853,0.4
1074,4,700,7.5
1075,4,400,1
1076,4,316.5,6.2
1077,4,262,544.1
1078,4,261.5,407
1079,4,261,3031
1080,4,260,369
1081,4,259,379
1082,4,258,2818
1083,4,257,1229
1084,4,256.9,459.1
1085,4,256.8,30
1086,4,256,444.7
1087,4,255,1233.3
1088,4,254.23,386.5
1089,4,254.2,1970
1090,4,253.79,103
1091,4,253.15,103
1092,4,248.61,89.2
1093,4,246.8,10
1094,4,245.2,245
1095,4,243.97,75
1096,4,240.13,478
1097,4,240,128.5
1098,4,236.8,10
1099,4,231.6,44.7
1100,4,229,45
1101,4,228,58
1102,4,226.8,10
1103,4,221,1913
1104,4,220,73.2
1105,4,219.91,9.8
1106,4,216.8,10
1107,4,210,320.5
1108,4,207.72,2
1109,4,206.8,10
1110,4,201.35,40
1111,4,201.25,60
1112,4,200,121
1113,4,196.8,10
1114,4,195,145
1115,4,191.5,30
1116,4,190,160.1
1117,4,187.17,182
1118,4,186.8,10
1119,4,185,1074.9
1120,4,184.89,59
1121,4,182.15,15.8
1122,4,180,364.8
1123,4,179.32,370
1124,4,176.85,380
1125,4,176.8,10
1126,4,173.47,400
1127,4,172.94,400
1128,4,170,509.8
1129,4,168.57,345
1130,4,167.07,132
1131,4,166.8,10
1132,4,165,23
1133,4,164.75,195
1134,4,164.21,220
1135,4,163.89,175
1136,4,161.5,52.6
1137,4,160,204
1138,4,159.5,207
1139,4,158.82,200
1140,4,156.8,50.1
1141,4,155,50
1142,4,152.14,12.7
1143,4,150,121.5
1144,4,145.1,369
1145,4,145,64
1146,4,144.93,47
1147,4,144,27
1148,4,141.87,60
1149,4,140,152
1150,4,139.96,1.4
1151,4,139.15,50
1152,4,139,20
1153,4,138.48,20
1154,4,138.1,63
1155,4,137.4,7.9
1156,4,135.24,85
1157,4,135,58
1158,4,133.85,390
1159,4,133.25,66
1160,4,133.06,60
1161,4,132.5,56
1162,4,132.49,102
1163,4,132.08,15
1164,4,131.09,400
1165,4,130.6,1.5
1166,4,130.22,9.6
1167,4,130,69
1168,4,128.5,156
1169,4,128,57.9
1170,4,127.17,720
1171,4,126.22,21.6
1172,4,125.5,25
1173,4,125,104
1174,4,123.6,41.7
1175,4,123.5,13
1176,4,120,58
1177,4,119.98,421.7
1178,4,118,25
1179,4,117.2,1.1
1180,4,116,56
1181,4,115.84,188
1182,4,115,10.5
1183,4,114.97,25
1184,4,114.9,1
1185,4,114.19,29
1186,4,113.52,157
1187,4,113.33,19.1
1188,4,112.9,1.1
1189,4,112.14,206
1190,4,112,78
1191,4,111.63,40.1
1192,4,111.62,35.7
1193,4,111.1,485
1194,4,111.04,30
1195,4,110,125.6
1196,4,109.7,17.9
1197,4,109.47,200
1198,4,109.15,114
1199,4,108.55,50
1200,4,108,26.7
1201,4,106.72,2.5
1202,4,106.66,224.8
1203,4,105.9,18.4
1204,4,105.7,180
1205,4,105.24,143
1206,4,105,10
1207,4,104.35,89
1208,4,104.19,230
1209,4,104,4
1210,4,103.09,167
1211,4,102.4,110
1212,4,101.39,11.6
1213,4,101.35,60
1214,4,101.12,0.4
1215,4,100.88,70
1216,4,100.85,5.2
1217,4,100.08,25.6
1218,4,100,398.3
1219,4,99.77,208
1220,4,99.55,207
1221,4,99.4,60
1222,4,98.87,45
1223,4,98.48,175
1224,4,98.38,60
1225,4,98.35,60
1226,4,98.03,175.8
1227,4,97.67,175.6
1228,4,97.34,163
1229,4,96.4,60
1230,4,95.88,60
1231,4,95.85,53.1
1232,4,95,155.3
1233,4,94.22,4
1234,4,92.67,2.4
1235,4,91.61,27
1236,4,90,22.1
1237,4,89.02,11.9
1238,4,88.49,7
1239,4,86.47,7.2
1240,4,85.97,0.6
1241,4,83.5,90.8
1242,4,82,2
1243,4,81.92,9.2
1244,4,81.2,10
1245,4,79.97,0.8
1246,4,78.87,1.7
1247,4,76.3,9.1
1248,4,76.03,4.9
1249,4,76,2.3
1250,4,75.96,1.7
1251,4,75.89,0.8
1252,4,75,295
1253,4,74.97,0.2
1254,4,74.34,2.5
1255,4,73.96,2.5
1256,4,69.97,3.4
1257,4,66.8,99.8
1258,4,66.5,6.2
1259,4,66.09,3.4
1260,4,65.79,4.2
1261,4,65.78,6.7
1262,4,65.73,1.8
1263,4,61,14.1
1264,4,60.68,7.9
1265,4,60.5,47.9
1266,4,55.71,0.5
1267,4,50.71,0.5
1268,4,50,34.3
1269,4,45.84,2.1
1270,4,41.43,1.1
1271,4,41.4,0.5
1272,4,40.47,2.7
1273,4,40.46,5.9
1274,4,40.44,28.6
1275,4,39.59,0.9
1276,4,35.65,47.8
1277,4,35.58,1.9
1278,4,35.33,1
1279,4,34.54,0.2
1280,4,34.4,1
