node,longitude,latitude
5865,9.516907,53.41608
5867,8.46633900000001,52.94781
5870,8.98132299999999,52.820193
5871,8.81515500000001,52.591369
5873,9.23400900000001,53.04369
5875,9.16671799999999,52.531261
5878,10.008545,53.669867
5879,9.997559,53.651964
5880,9.882202,53.443899
5882,10.252991,53.568045
5883,10.458984,53.435719
5886,10.439758,53.265213
5887,10.39444,53.007347
7023,6.730499,50.855376
7074,9.327393,53.931837
7208,8.64674914879838,49.305205353427
7315,9.06781490495918,50.0571387760357
7316,6.92471182337303,51.4908549906569
7317,6.92471182337303,51.4908549906569
7318,9.61440999999999,53.617765
7319,11.7411190206063,48.3688586403516
7320,8.35235599999999,52.467724
7321,8.35235599999999,52.467724
7322,10.005798,49.60804
7326,9.34392019506842,48.7637063165046
7327,7.50374768819834,50.2656814254335
7328,7.54662939404198,51.0374973304414
7329,7.967834,52.459357
7330,7.128754,52.793628
7362,8.54543361248412,49.5373582784346
7363,8.54543361248412,49.5373582784346
7372,9.35887512033357,48.8326761540265
7373,12.123413,51.518998
7374,9.51424262506327,53.830758228622
7375,9.39617227010467,53.8763383116958
7420,8.68743899999999,49.135901
7424,7.33667909974184,52.5041693228557
7459,8.54461699999999,50.209428
7460,8.57900257899212,53.1567710330909
7468,8.48601761726028,47.9537497985793
7474,13.6206316721458,52.6148089132618
7476,13.380413955774,52.6851599278537
7623,11.0509419490214,50.0297794904887
7630,10.3931426975195,52.1426791845829
7636,8.95935100000001,52.544625
7677,9.2291881441975,48.9329085701644
7703,9.66659500000001,47.617273
7713,9.27381370949934,48.8139324990612
7761,6.63024900000001,49.835325
7808,9.12211621382025,49.0939516665424
7810,8.59722221686101,49.4574203257199
7812,9.07028113971952,52.1706406642088
7871,8.05967992934543,50.8153409391881
7888,6.84339210911969,49.3498643516038
7889,8.12389160832129,50.3063138329311
7895,8.30566551464606,49.5626044376313
7897,7.6055713719464,49.4349473308342
7898,10.019531,49.884017
7900,10.452118,48.460173
7901,9.43585963014029,48.6383575221442
7902,11.597443,50.895238
7903,7.69177397692555,51.6973485834793
7914,11.02066,48.441956
7949,8.50212653658977,47.9641242294012
8028,8.32176473743144,50.087368844263
8038,13.5221340701422,52.6387242813391
8039,13.9803225201735,53.2521634905018
8040,13.2169499749436,52.9958176688092
8041,12.915802,52.596375
8042,11.6576299662681,53.6099714178646
8099,11.635895,51.994183
8100,12.987213,51.863772
8101,9.62307737163176,51.2968400551295
8102,11.061859,49.939731
8115,9.5594367674597,53.4730739906532
8116,8.98917119328019,52.4986215991632
8121,7.88508666695429,51.5218676850616
8128,11.6357983457842,48.3750002548513
8151,7.175446,49.399356
8168,8.03204672156562,50.9938128179983
8175,9.80228979023356,47.6377345779987
8181,6.80733715526556,50.9272264621544
8225,13.808441,50.952371
8291,6.823883,51.485659
8297,12.553253,53.559889
8309,6.4819335,51.2593368033265
8312,6.61926300000001,49.546598
8331,6.50253299999999,51.391494
8351,10.345001,51.010299
8357,7.22625699999999,50.265643
8391,9.18457,48.451066
8414,9.12551900000001,51.145756
8443,10.759735,48.017487
8480,8.85635399999999,51.388923
8490,10.06485,48.282279
8496,8.644867,51.97473
8513,8.30703700000001,49.4230343964514
8581,6.81014999999999,50.772076
8588,13.5083775,52.4313160178965
8593,9.424896,48.606582
8596,8.594055,49.534122
8599,8.850861,49.981254
8610,8.43749999999999,53.067627
8653,8.48144499999999,49.832668
8685,9.50454700000001,49.783038
8707,7.38830599999999,52.534602
8725,8.455353,49.562634
8728,7.18093900000001,51.53096
8737,12.075348,53.013131
8745,13.96225,53.173119
8752,12.624664,51.064702
8791,8.948364,49.016257
8806,13.127289,50.959292
8807,12.062988,50.867511
8828,7.99392699999999,51.76869
8832,7.94174200000001,51.802671
8834,14.440155,52.114939
8847,9.442749,48.756189
8848,9.02526899999999,53.085777
8863,8.32900999999999,53.235633
