id,step_orders,fixed_term,condition,load_gradient,MAP1,MAP2,MAP3,MAP4,MAP5,MAP6,MAP7,MAP8,MAP9,MAP10,MAP11,MAP12,MAP13,MAP14,MAP15,MAP16,MAP17,MAP18,MAP19,MAP20,MAP21,MAP22,MAP23,MAP24
31,"122, 123, 124, 125, 126, 127",30,load gradient,,0,0,-132,0,0,0,0,0,-196,0,0,0,0,-74,0,0,0,0,0,0,0,-194,0,0
32,"128, 129, 130",50,MIC,,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
33,"131, 132, 133, 134",100,MIC,,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,48,195,0,0,0,0,135,0,70
34,"135, 136, 137, 138",100,MIC,,0,0,0,0,41,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,133,171,172,0
35,"139, 140, 141",60,MP,,0,0,0,0,0,0,0,0,0,0,-131,0,0,0,0,-169,0,0,0,0,0,0,0,0
36,"142, 143, 144, 145, 146",100,load gradient,20,0,0,0,109,0,0,25,0,0,0,53,0,187,0,0,183,0,0,0,0,0,0,0,0
37,"147, 148, 149, 150, 151, 152",40,MIC,,79,0,0,0,0,0,0,0,0,197,0,0,0,0,200,0,37,0,0,0,0,88,0,0
38,"153, 154, 155, 156, 157, 158",100,load gradient,,0,0,-57,0,0,0,0,0,0,0,0,0,0,-199,0,0,-121,0,0,0,0,0,0,0
39,"159, 160, 161, 162",100,MP,,0,-138,0,0,0,0,0,0,-166,0,0,0,0,0,0,0,0,0,0,-141,0,0,0,0
40,"163, 164, 165, 166, 167, 168",50,load gradient,10,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0
41,"169, 170, 171",50,load gradient,20,0,0,0,0,0,72,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"172, 173, 174",50,MP,,0,0,0,-159,0,0,0,0,0,0,-89,0,0,-31,-54,0,0,0,0,0,0,0,-175,0
43,"175, 176, 177, 178",30,MP,,-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,-146,0
44,"179, 180, 181, 182, 183",50,MIC,,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
45,"184, 185, 186, 187, 188",40,MIC,,148,0,0,0,0,0,0,0,0,0,157,0,17,152,0,0,0,0,0,0,20,0,0,0
46,"189, 190, 191",60,MIC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
47,"192, 193, 194, 195, 196, 197",30,load gradient,20,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0
48,"198, 199, 200, 201, 202, 203",30,load gradient,,0,0,105,0,19,0,0,79,0,0,0,84,0,0,0,0,0,0,0,178,0,0,0,0
49,"204, 205, 206, 207, 208, 209",30,MP,,0,0,0,0,-113,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0
50,"210, 211, 212, 213",60,MIC,,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"214, 215, 216, 217, 218",30,MIC,,35,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,65,0,102,136,0,0,0,0
52,"219, 220, 221, 222",40,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0
53,"223, 224, 225, 226",30,load gradient,20,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"227, 228, 229, 230",30,load gradient,,0,0,0,0,-30,0,-51,0,0,0,-26,-116,0,0,0,0,0,0,0,0,-79,0,0,0
55,"231, 232, 233, 234",50,MP,,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,-132,0,0,0
56,"235, 236, 237, 238, 239",40,load gradient,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
57,"240, 241, 242, 243, 244",60,MP,,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,-46,-74,0,0,-127
58,"245, 246, 247",50,MP,,0,0,0,0,0,0,0,-197,0,0,-153,0,0,0,-80,0,-152,0,-64,0,0,0,0,0
59,"248, 249, 250, 251",100,load gradient,,-11,0,0,0,0,0,0,0,0,-118,0,0,0,0,0,-13,-89,0,0,0,0,0,-16,0
60,"252, 253, 254",30,MP,,0,0,0,0,0,0,0,-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"255, 256, 257, 258",60,load gradient,,0,0,0,0,0,0,0,0,0,-17,0,0,-194,0,0,0,0,0,0,0,0,0,0,0
62,"259, 260, 261, 262, 263",60,MIC,,0,0,80,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"264, 265, 266, 267",100,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171,0,0,0,0,0,0,0,0,0
64,"268, 269, 270",30,load gradient,20,0,0,0,0,0,0,83,0,0,0,0,0,108,0,0,0,0,0,57,0,0,64,0,0
65,"271, 272, 273",100,load gradient,10,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"274, 275, 276",50,load gradient,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
67,"277, 278, 279",40,MP,,0,0,0,0,0,-67,0,0,0,-13,0,0,-10,0,0,0,0,0,0,0,-13,0,0,0
68,"280, 281, 282, 283, 284, 285",40,load gradient,10,0,0,0,0,0,0,0,0,82,0,0,0,26,0,0,0,0,130,0,84,0,0,0,97
69,"286, 287, 288",40,load gradient,20,0,0,0,0,0,64,0,0,116,0,0,39,0,0,51,0,0,0,0,0,0,0,0,31
70,"289, 290, 291, 292, 293, 294",40,MIC,,0,0,0,0,0,0,0,0,0,0,0,0,194,12,0,0,0,0,0,0,36,104,196,0
71,"295, 296, 297, 298, 299, 300",100,load gradient,,0,0,0,0,0,0,0,0,0,154,0,0,0,109,0,0,132,0,0,0,0,0,0,0
72,"301, 302, 303, 304, 305",60,MIC,,0,0,0,0,122,0,0,58,0,0,0,0,0,0,0,0,0,79,0,0,72,0,0,0
73,"306, 307, 308",30,MIC,,0,0,0,0,0,0,0,0,0,0,95,0,0,26,0,0,0,0,0,182,0,0,0,0
74,"309, 310, 311, 312",100,load gradient,20,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,-180,0,0,0,0,0,0,0
75,"313, 314, 315",60,load gradient,20,0,0,31,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,18,0
76,"316, 317, 318, 319, 320",30,MIC,,0,164,0,0,0,0,0,50,0,0,151,0,0,0,195,151,0,0,0,0,0,0,0,0
77,"321, 322, 323, 324, 325, 326",50,MIC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,190,0,0,198,0,117,0,0,111
78,"327, 328, 329, 330",50,MIC,,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"331, 332, 333, 334, 335",30,MP,,0,0,0,0,0,0,0,0,0,0,0,-140,0,0,0,0,0,0,0,0,0,0,0,0
80,"336, 337, 338, 339, 340",30,load gradient,20,0,0,-49,0,0,0,-46,0,0,0,0,0,0,-69,-37,0,0,0,0,0,-169,0,0,0
81,"341, 342, 343, 344",60,load gradient,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,-96,-41,0,0,0,0,0
82,"345, 346, 347, 348",100,MIC,,0,0,0,0,0,0,0,0,160,0,0,0,189,0,0,0,0,0,0,0,82,0,0,0
83,"349, 350, 351",30,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-199,0,0,0,0,0,0,-108,0,0
84,"352, 353, 354, 355, 356, 357",50,MP,,0,0,0,0,-46,0,0,0,0,-111,0,0,-24,-51,0,0,0,0,0,0,0,0,-143,0
85,"358, 359, 360",60,load gradient,10,0,0,0,0,0,0,0,0,-143,0,0,0,0,0,0,0,0,-43,-10,0,0,-23,0,0
86,"361, 362, 363",30,load gradient,20,-103,0,0,-172,-184,0,0,0,-142,0,0,0,0,0,-139,0,0,0,0,0,0,0,0,0
87,"364, 365, 366",30,load gradient,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177,0,0,0,-163,0,0
88,"367, 368, 369",40,load gradient,,0,0,-29,0,0,-96,0,0,0,0,0,0,0,0,0,-169,0,-136,0,0,-57,0,0,0
89,"370, 371, 372, 373, 374",60,MP,,-49,0,0,-165,0,0,0,0,0,0,0,0,0,0,-173,0,0,0,0,0,-142,0,-155,0
90,"375, 376, 377, 378, 379, 380",50,load gradient,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,0
91,"381, 382, 383, 384",30,load gradient,,0,0,0,0,0,0,149,0,0,30,0,0,0,0,0,0,0,59,0,0,0,0,89,0
92,"385, 386, 387, 388, 389",50,MIC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,197,0,0,0,0
93,"390, 391, 392, 393",60,MIC,,0,0,72,0,0,0,108,0,0,0,0,0,0,0,0,0,98,0,22,0,0,136,0,0
94,"394, 395, 396",50,MIC,,0,0,0,0,0,0,118,15,0,0,0,0,0,0,0,192,182,0,0,168,0,0,0,0
95,"397, 398, 399",40,load gradient,,0,0,-141,0,0,0,0,0,0,-104,0,0,0,-163,0,0,0,0,0,0,0,-27,0,0
96,"400, 401, 402",30,load gradient,10,188,0,0,0,0,0,0,0,0,0,0,0,0,75,0,80,138,0,0,0,94,0,0,0
97,"403, 404, 405, 406, 407, 408",60,load gradient,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,-104
98,"409, 410, 411, 412, 413",50,load gradient,,0,0,0,0,0,0,-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0
99,"414, 415, 416, 417, 418",50,load gradient,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,0
100,"419, 420, 421",100,MIC,,0,71,0,11,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,174,73,0,0,0
101,"422, 423, 424, 425",100,MIC,,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
102,"426, 427, 428, 429, 430",100,load gradient,20,-33,0,0,0,0,0,0,0,0,0,-110,0,0,-173,-128,0,0,0,0,-35,0,0,0,0
103,"431, 432, 433, 434, 435",30,load gradient,10,0,-125,-198,0,0,0,-123,0,0,0,0,-63,0,0,0,-19,0,0,0,0,0,0,0,0
104,"436, 437, 438, 439, 440",30,load gradient,20,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,99,0,0,0,158,0,0
105,"441, 442, 443",60,MIC,,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"444, 445, 446, 447, 448",40,load gradient,10,0,-35,-197,0,0,0,0,-86,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0,-148
107,"449, 450, 451",50,MP,,0,0,0,0,0,-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"452, 453, 454, 455, 456",60,load gradient,,-77,0,0,0,0,0,0,-185,0,0,0,0,0,0,-79,0,0,0,0,-164,0,0,-24,0
109,"457, 458, 459, 460, 461, 462",100,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,-49,0,0,0,0,0
110,"463, 464, 465, 466, 467, 468",60,load gradient,20,0,-17,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,-123,0,0,0,-80,0,0
