id,scalable_order_id,t,p,q
110,28,13,2692,232
111,28,8,658,155
112,28,6,-169,155
113,28,7,1083,154
114,28,5,2812,66
115,29,16,2896,80
116,29,10,3600,148
117,29,4,-291,41
118,29,11,1805,61
119,30,14,3112,183
120,30,24,874,124
121,30,5,-230,162
122,31,15,3524,-267
123,31,22,1448,-121
124,31,9,-321,-226
125,31,12,1521,-40
126,31,3,2403,-217
127,31,9,170,-110
128,32,10,3706,226
129,32,16,2084,192
130,32,7,1502,102
131,33,13,383,162
132,33,24,132,214
133,33,7,870,168
134,33,16,514,138
135,34,3,841,105
136,34,17,2268,251
137,34,12,1225,200
138,34,20,-133,239
139,35,7,3103,-158
140,35,17,3610,-99
141,35,20,1350,-84
142,36,8,-108,76
143,36,21,1372,97
144,36,13,907,147
145,36,8,3831,126
146,36,2,1149,128
147,37,11,752,231
148,37,5,-385,223
149,37,7,-162,298
150,37,7,1667,20
151,37,3,3507,38
152,37,11,338,27
153,38,14,1364,-145
154,38,19,2001,-91
155,38,11,3774,-294
156,38,3,3154,-260
157,38,11,704,-197
158,38,20,3344,-239
159,39,17,2119,-123
160,39,8,1002,-171
161,39,7,-198,-40
162,39,22,2336,-88
163,40,17,3219,270
164,40,19,2075,258
165,40,15,1035,264
166,40,11,3255,163
167,40,15,2387,247
168,40,4,3947,264
169,41,13,1073,211
170,41,3,3109,282
171,41,9,3779,154
172,42,23,172,-103
173,42,3,474,-163
174,42,10,2869,-59
175,43,12,3187,-155
176,43,11,3045,-111
177,43,3,213,-148
178,43,24,2967,-196
179,44,3,3781,195
180,44,8,1770,17
181,44,18,3351,166
182,44,3,502,287
183,44,4,3190,223
184,45,9,145,187
185,45,15,1722,270
186,45,24,406,99
187,45,20,-126,94
188,45,16,3316,221
189,46,12,-138,84
190,46,18,1348,217
191,46,18,3008,195
192,47,12,1634,180
193,47,7,3833,23
194,47,9,728,93
195,47,19,1320,50
196,47,6,3559,135
197,47,12,-371,166
198,48,21,877,22
199,48,15,2453,119
200,48,19,1119,189
201,48,4,720,56
202,48,22,1202,266
203,48,17,-383,11
204,49,13,862,-63
205,49,9,578,-166
206,49,5,3546,-195
207,49,16,3051,-259
208,49,8,1920,-40
209,49,11,-203,-136
210,50,15,3063,253
211,50,11,2476,147
212,50,19,2815,72
213,50,16,-265,298
214,51,12,-473,269
215,51,23,307,171
216,51,6,-426,154
217,51,15,1092,54
218,51,11,-349,249
219,52,11,-261,-232
220,52,24,3,-226
221,52,5,3794,-44
222,52,17,766,-107
223,53,8,897,83
224,53,22,1741,202
225,53,10,1389,19
226,53,24,3544,158
227,54,20,1954,-103
228,54,2,1488,-153
229,54,19,1981,-84
230,54,22,687,-165
231,55,2,903,-120
232,55,9,2546,-249
233,55,12,-153,-28
234,55,16,20,-227
235,56,7,-395,11
236,56,3,845,77
237,56,13,3888,153
238,56,12,3419,239
239,56,2,1589,38
240,57,1,1411,-215
241,57,6,1445,-115
242,57,21,2505,-190
243,57,16,564,-124
244,57,24,-42,-93
245,58,1,3510,-136
246,58,15,122,-240
247,58,22,264,-161
248,59,11,1316,-290
249,59,3,1820,-22
250,59,22,3790,-206
251,59,1,3229,-264
252,60,13,3457,-18
253,60,13,3127,-115
254,60,22,3889,-95
255,61,8,39,-42
256,61,6,1672,-100
257,61,20,2539,-32
258,61,20,2836,-237
259,62,21,426,207
260,62,18,3240,112
261,62,14,532,228
262,62,23,-8,117
263,62,24,169,271
264,63,1,-461,-186
265,63,9,261,-266
266,63,12,3280,-82
267,63,16,3468,-160
268,64,11,3049,299
269,64,19,1516,258
270,64,21,2787,71
271,65,15,-115,212
272,65,10,-152,44
273,65,17,3937,73
274,66,8,2825,139
275,66,14,1416,151
276,66,5,-328,27
277,67,9,625,-150
278,67,20,-294,-49
279,67,16,3713,-15
280,68,22,3396,182
281,68,6,3176,203
282,68,7,2130,224
283,68,14,3676,146
284,68,1,3544,148
285,68,8,328,239
286,69,5,3525,191
287,69,2,1620,154
288,69,13,2323,119
289,70,5,1803,36
290,70,12,1752,138
291,70,3,2826,20
292,70,24,449,101
293,70,14,182,294
294,70,1,851,221
295,71,7,293,202
296,71,6,885,35
297,71,16,386,97
298,71,13,1291,201
299,71,20,2168,194
300,71,1,3542,48
301,72,13,1730,281
302,72,1,-194,249
303,72,21,-499,129
304,72,12,3059,105
305,72,14,2989,218
306,73,20,3016,149
307,73,13,2269,143
308,73,19,252,291
309,74,20,3204,-113
310,74,24,3602,-30
311,74,12,-172,-135
312,74,8,221,-93
313,75,24,3268,213
314,75,12,-343,273
315,75,7,245,283
316,76,8,2932,36
317,76,12,1191,89
318,76,24,2678,222
319,76,22,-161,214
320,76,19,1950,81
321,77,3,3920,253
322,77,10,1740,135
323,77,8,-288,45
324,77,9,2760,73
325,77,13,667,251
326,77,22,3082,152
327,78,13,1098,223
328,78,14,-314,34
329,78,22,3733,208
330,78,15,3401,134
331,79,22,1773,-28
332,79,16,520,-133
333,79,17,518,-193
334,79,4,2853,-130
335,79,21,2707,-296
336,80,14,1801,-23
337,80,11,3640,-131
338,80,5,1117,-255
339,80,22,-37,-244
340,80,10,3067,-83
341,81,8,1595,-164
342,81,21,2207,-268
343,81,14,2132,-28
344,81,22,2750,-48
345,82,24,2471,295
346,82,18,1804,40
347,82,20,1552,202
348,82,1,966,236
349,83,7,2545,-13
350,83,7,2773,-83
351,83,5,2270,-269
352,84,13,3085,-11
353,84,9,1723,-185
354,84,12,514,-60
355,84,8,2303,-25
356,84,22,827,-282
357,84,12,760,-34
358,85,3,786,-170
359,85,20,265,-280
360,85,22,3655,-94
361,86,19,-347,-80
362,86,10,2339,-135
363,86,9,513,-86
364,87,10,1667,-62
365,87,10,912,-220
366,87,8,3956,-214
367,88,3,1459,-178
368,88,11,-98,-58
369,88,2,2083,-68
370,89,1,1487,-265
371,89,13,-415,-272
372,89,4,2827,-153
373,89,16,1699,-156
374,89,8,2565,-120
375,90,8,3720,-55
376,90,9,761,-267
377,90,6,896,-260
378,90,1,-348,-198
379,90,21,1438,-131
380,90,22,2153,-220
381,91,24,1875,73
382,91,19,-182,271
383,91,5,3852,194
384,91,5,2374,166
385,92,24,2193,159
386,92,11,3637,162
387,92,3,-435,124
388,92,3,3466,54
389,92,4,3260,278
390,93,12,-4,33
391,93,7,3026,43
392,93,9,3614,198
393,93,14,174,193
394,94,10,2968,225
395,94,13,2406,231
396,94,17,-27,47
397,95,7,1556,-175
398,95,13,1288,-32
399,95,18,1482,-86
400,96,24,-258,284
401,96,17,1252,160
402,96,10,2205,227
403,97,12,224,-158
404,97,2,-153,-55
405,97,22,498,-154
406,97,9,2477,-64
407,97,23,1374,-244
408,97,2,1535,-212
409,98,13,2582,-15
410,98,21,1609,-32
411,98,22,334,-173
412,98,22,3083,-40
413,98,11,2692,-240
414,99,17,1113,-288
415,99,13,3649,-187
416,99,8,190,-35
417,99,10,265,-265
418,99,17,1693,-84
419,100,9,2841,205
420,100,22,2819,72
421,100,14,3411,112
422,101,12,2271,224
423,101,4,2972,241
424,101,12,3950,135
425,101,10,2753,79
426,102,19,2682,-29
427,102,11,2989,-96
428,102,10,254,-200
429,102,2,1413,-169
430,102,12,2265,-68
431,103,23,2882,-82
432,103,18,1044,-156
433,103,3,2695,-286
434,103,11,914,-210
435,103,22,483,-278
436,104,18,2988,183
437,104,18,3930,86
438,104,10,3838,85
439,104,15,1982,110
440,104,11,554,108
441,105,1,507,284
442,105,19,249,91
443,105,14,1986,128
444,106,23,2020,-191
445,106,24,-457,-245
446,106,11,1080,-74
447,106,14,3477,-153
448,106,6,1050,-246
449,107,11,1807,-138
450,107,14,2632,-155
451,107,17,921,-29
452,108,15,1703,-165
453,108,23,1493,-259
454,108,23,793,-246
455,108,8,3293,-288
456,108,24,2889,-73
457,109,19,3770,-261
458,109,8,762,-36
459,109,4,2633,-172
460,109,17,-155,-292
461,109,5,1532,-205
462,109,6,560,-111
463,110,20,3187,-33
464,110,12,59,-159
465,110,22,3720,-257
466,110,9,274,-182
467,110,7,3758,-249
468,110,7,-406,-152
