bid_datetime_beginning_utc,bid_datetime_beginning_ept,unit_code,bid_slope_flag,mw1,mw2,mw3,mw4,mw5,mw6,mw7,mw8,mw9,mw10,mw11,mw12,mw13,mw14,mw15,mw16,mw17,mw18,mw19,mw20,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,bid11,bid12,bid13,bid14,bid15,bid16,bid17,bid18,bid19,bid20,no_load_cost,cold_start_cost,inter_start_cost,hot_start_cost,max_daily_starts,min_runtime,max_ecomax,min_ecomax,avg_ecomax,max_ecomin,min_ecomin,avg_ecomin
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAKAw4LAQYPNy4xMDk4MDExMA,True,,140.00,321.00,322.00,347.00,525.00,668.00,669.00,720.00,721.00,,,,,,,,,,,,18.09,24.31,31.39,31.39,31.39,31.39,46.72,46.72,173.03,,,,,,,,,,,4263.26,2694.51,2344.35,1525.27,3,10.00,720.00,720.00,720.00,300.00,300.00,300.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAKBg8JAAQONS45Njk3OTAwMQ,True,1.00,20.00,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,99999,,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAAKBg8JAwQIOS41MzkxMjEwMQ,True,,10.70,21.60,,,,,,,,,,,,,,,,,,,20.15,26.05,,,,,,,,,,,,,,,,,,125.01,2.48,2.48,2.48,12,1.00,21.40,21.40,21.40,10.40,10.40,10.40
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcFAwUPAAIPNy43OTA5MDEwMQ,True,150.00,338.00,338.10,350.00,440.00,530.00,620.00,734.10,,,,,,,,,,,,,7.37,8.93,8.93,9.03,9.77,10.51,11.26,12.13,,,,,,,,,,,,,504.94,10030.54,5207.37,2271.84,2,12.00,734.10,734.10,734.10,350.00,350.00,350.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAg8BOS45NjEzMDEwMQ,True,1.00,20.00,51.00,71.00,,,,,,,,,,,,,,,,,11.41,13.05,15.72,17.44,,,,,,,,,,,,,,,,,413.89,4034.17,4034.17,1617.51,1,24.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwcANi45NjMzMDEwMQ,True,1.00,115.00,165.00,198.00,,,,,,,,,,,,,,,,,74.90,134.23,160.25,177.43,,,,,,,,,,,,,,,,,11927.33,15307.25,15307.25,11480.55,1,24.00,186.00,186.00,186.00,115.00,115.00,115.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMKOC45MTIyMDEwMg,True,,200.00,,,,,,,,,,,,,,,,,,,,29.26,,,,,,,,,,,,,,,,,,,567.23,27213.08,12705.27,12705.27,2,8.00,200.00,200.00,200.00,88.00,88.00,88.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMKOS45MTIyMDEwNA,True,,200.00,,,,,,,,,,,,,,,,,,,,29.16,,,,,,,,,,,,,,,,,,,565.30,27213.08,12705.27,12705.27,2,8.00,200.00,200.00,200.00,88.00,88.00,88.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMLMS45MTIyMDEwNg,True,,200.00,,,,,,,,,,,,,,,,,,,,28.21,,,,,,,,,,,,,,,,,,,597.82,27213.08,12705.27,12705.27,2,8.00,190.00,190.00,190.00,88.00,88.00,88.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMLNC45MTIyMDEwMQ,True,,200.00,,,,,,,,,,,,,,,,,,,,29.95,,,,,,,,,,,,,,,,,,,595.15,27213.08,12705.27,12705.27,2,8.00,170.00,170.00,170.00,88.00,88.00,88.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMLNy45MTIyMDEwMw,True,,200.00,,,,,,,,,,,,,,,,,,,,28.91,,,,,,,,,,,,,,,,,,,560.49,27213.08,12705.27,12705.27,2,8.00,200.00,200.00,200.00,88.00,88.00,88.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMMMC45MTIyMDEwNQ,True,,200.00,,,,,,,,,,,,,,,,,,,,29.86,,,,,,,,,,,,,,,,,,,578.87,27213.08,12705.27,12705.27,2,8.00,195.00,195.00,195.00,88.00,88.00,88.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMMNC45MTIzMDEwMw,True,,199.00,,,,,,,,,,,,,,,,,,,,26.43,,,,,,,,,,,,,,,,,,,590.84,30450.20,15220.85,15220.85,2,8.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMMNi45MTIzMDEwMg,True,,199.00,,,,,,,,,,,,,,,,,,,,25.87,,,,,,,,,,,,,,,,,,,578.38,30450.20,15220.85,15220.85,2,8.00,179.00,179.00,179.00,90.00,90.00,90.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMMNS45MTIzMDEwMQ,True,,199.00,,,,,,,,,,,,,,,,,,,,26.04,,,,,,,,,,,,,,,,,,,681.74,30450.20,15220.85,15220.85,2,8.00,199.00,199.00,199.00,90.00,90.00,90.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMMNy45MTIzMDEwNA,True,,199.00,,,,,,,,,,,,,,,,,,,,26.47,,,,,,,,,,,,,,,,,,,689.14,30450.20,15220.85,15220.85,2,8.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwMMOC45MTIzMDEwNQ,True,,199.00,,,,,,,,,,,,,,,,,,,,26.20,,,,,,,,,,,,,,,,,,,585.66,30450.20,15220.85,15220.85,2,8.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwYLOC45NjE5MDEwMQ,True,1.00,20.00,51.00,71.00,,,,,,,,,,,,,,,,,3.10,4.46,6.67,8.10,,,,,,,,,,,,,,,,,326.11,3463.07,3463.07,1593.22,1,24.00,51.00,51.00,51.00,20.00,20.00,20.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwYPNi45NjMxMjEzMA,True,1.00,97.00,114.00,125.00,,,,,,,,,,,,,,,,,147.97,197.11,205.81,211.44,,,,,,,,,,,,,,,,,6300.95,1437.39,1437.39,1378.28,1,2.00,116.00,116.00,116.00,99.00,99.00,99.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwYPNy45NjMxMjExMA,True,1.00,97.00,114.00,125.00,,,,,,,,,,,,,,,,,147.97,197.11,205.81,211.44,,,,,,,,,,,,,,,,,6300.95,1439.58,1439.58,1335.28,1,2.00,116.00,116.00,116.00,99.00,99.00,99.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MAwYPOC45NjMxMjEyMA,True,1.00,97.00,114.00,125.00,,,,,,,,,,,,,,,,,147.97,197.11,205.81,211.44,,,,,,,,,,,,,,,,,6300.95,1552.85,1552.85,1341.68,1,2.00,116.00,116.00,116.00,99.00,99.00,99.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MBQ4JOC41MjA1MDEwMQ,True,196.00,197.00,198.00,250.00,300.00,350.00,400.00,450.00,500.00,,,,,,,,,,,,9.53,9.53,9.53,9.59,9.64,9.69,9.74,9.79,11.84,,,,,,,,,,,,0.00,2044.44,1609.36,1163.27,2,10.00,470.00,470.00,470.00,196.00,196.00,196.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MBQ8JNi41MzA2MDEwMQ,True,,193.30,396.00,396.10,465.90,466.00,513.20,513.30,513.40,,,,,,,,,,,,,13.31,14.54,14.54,14.96,21.25,21.25,21.25,21.25,,,,,,,,,,,,0.00,2227.71,2116.03,2004.35,2,6.00,513.20,513.20,513.20,193.30,193.30,193.30
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MBQ8JNS41MzA2MDEwMg,True,,193.30,396.00,396.10,465.90,466.00,513.20,513.30,513.40,,,,,,,,,,,,,13.31,14.54,14.54,14.96,21.25,21.25,21.25,21.25,,,,,,,,,,,,0.00,2227.71,2116.03,2004.35,2,6.00,513.20,513.20,513.20,193.30,193.30,193.30
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAcGBg4MBQcBOC4xMDEzOTA5OA,True,2.50,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,3,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEADAILBwEIOS41NDM2MDEwMQ,True,233.10,386.50,386.60,413.50,413.60,430.30,790.60,790.70,852.60,,,,,,,,,,,,7.49,9.03,9.03,9.30,9.30,9.47,13.09,23.37,23.38,,,,,,,,,,,,816.29,17765.56,5752.18,3903.96,2,12.00,852.60,852.60,852.60,568.40,568.40,568.40
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEADAILBwMOMS45NjY2MDEwMQ,True,,420.00,421.00,500.00,501.00,600.00,699.00,700.00,797.00,,,,,,,,,,,,,12.32,23.32,23.42,23.52,23.62,23.72,50.88,50.88,,,,,,,,,,,,1695.45,7807.74,4810.19,1812.63,3,4.00,699.00,699.00,699.00,420.00,420.00,420.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAECDAcMAgYLNC42MDIzMDEwMg,True,,180.00,279.80,279.90,329.20,329.30,369.20,,,,,,,,,,,,,,,19.60,20.53,20.53,20.98,27.58,27.58,,,,,,,,,,,,,,0.00,1265.03,1265.03,1265.03,2,6.00,369.20,369.20,369.20,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAECDAcMAgYLNS42MDIzMDEwMQ,True,,180.00,279.80,279.90,329.20,329.30,369.20,,,,,,,,,,,,,,,19.60,20.53,20.53,20.98,27.58,27.58,,,,,,,,,,,,,,0.00,1265.03,1265.03,1265.03,2,6.00,369.20,369.20,369.20,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAECDAcMAgYLOS42MDA3MjExMg,True,,75.00,124.50,,,,,,,,,,,,,,,,,,,24.54,29.08,,,,,,,,,,,,,,,,,,868.31,417.05,255.76,212.80,3,6.00,125.00,125.00,125.00,75.00,75.00,75.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAECDAcMAgYMMS42MDA3MjExMQ,True,,68.00,121.50,,,,,,,,,,,,,,,,,,,23.90,28.80,,,,,,,,,,,,,,,,,,868.31,417.05,255.76,212.80,3,6.00,122.00,122.00,122.00,68.00,68.00,68.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAECDAcMBQ8MMS41Mzg2MzEwMQ,True,,9.90,20.80,,,,,,,,,,,,,,,,,,,22.37,27.28,,,,,,,,,,,,,,,,,,101.28,1.46,1.46,1.46,12,1.00,20.80,20.80,20.80,9.90,9.90,9.90
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEDAQcLBwIMNC45NjE2MjEwNA,True,1.00,3.00,11.00,16.00,,,,,,,,,,,,,,,,,342.72,342.72,342.72,342.72,,,,,,,,,,,,,,,,,0.00,250.00,250.00,250.00,2,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEDAQcLBwUINC45NjA4MjEwNQ,True,1.00,3.00,15.00,20.00,,,,,,,,,,,,,,,,,279.00,279.00,279.00,279.00,,,,,,,,,,,,,,,,,0.00,133.24,133.24,133.24,2,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEDAQcLBwUINi45NjA4MjEwNg,True,1.00,6.00,24.00,170.00,,,,,,,,,,,,,,,,,291.22,291.22,291.22,291.22,,,,,,,,,,,,,,,,,0.00,2664.75,2664.75,2664.75,2,2.00,24.00,24.00,24.00,6.00,6.00,6.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEAAQOAAILLjU0MTIwMTAz,True,190.00,310.00,569.00,569.10,704.00,704.10,721.00,,,,,,,,,,,,,,17.11,17.93,24.96,31.48,31.48,131.48,131.48,,,,,,,,,,,,,,2262.89,7786.68,5430.82,3619.57,3,6.00,721.00,721.00,721.00,310.00,310.00,310.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEDQQOAA8INi4xMDgwMDE3MA,True,,300.00,330.50,361.00,391.50,422.00,452.50,483.00,484.00,538.00,,,,,,,,,,,,21.54,21.89,22.24,23.82,24.60,24.98,25.35,42.62,42.62,,,,,,,,,,,1935.05,3899.47,1708.84,841.34,1,24.00,538.00,538.00,538.00,300.00,300.00,300.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEDQQOAQENNC45MDE4MjEwMg,True,,105.00,123.00,141.00,159.00,179.20,179.30,194.30,,,,,,,,,,,,,,184.68,198.35,212.01,225.68,241.04,241.11,252.50,,,,,,,,,,,,,16524.68,606.40,606.40,606.40,4,6.00,179.20,179.20,179.20,105.00,105.00,105.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEDQQOAQENNS45MDE4MjEwMQ,True,,105.00,105.10,168.00,168.10,168.20,,,,,,,,,,,,,,,,17.50,17.51,19.44,19.44,19.47,,,,,,,,,,,,,,,1289.71,89.18,89.18,89.18,4,6.00,168.20,168.20,168.20,105.00,105.00,105.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEDQQODgIPMi45Njk2MjEwMg,True,,100.00,165.70,165.80,166.00,,,,,,,,,,,,,,,,,33.40,33.42,33.42,182.43,,,,,,,,,,,,,,,,4200.00,10000.00,10000.00,10000.00,4,2.00,173.70,173.70,173.70,100.00,100.00,100.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEDQQODgIPMS45Njk2MjEwMw,True,,90.00,165.20,165.30,165.50,,,,,,,,,,,,,,,,,210.67,210.69,210.69,354.70,,,,,,,,,,,,,,,,4200.00,10000.00,10000.00,10000.00,4,2.00,174.60,174.60,174.60,90.00,90.00,90.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEEDQQODgIPNi45NjcyMDEwMQ,True,1.00,433.00,937.00,938.00,967.00,1426.00,1427.00,1456.00,1670.00,,,,,,,,,,,,17.21,17.60,19.06,19.07,19.18,21.51,28.11,28.11,28.11,,,,,,,,,,,,5103.66,58141.45,58141.45,21821.58,1,24.00,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEFDQYJBAMKOC41NDM3MDEwMQ,True,400.00,401.00,835.00,836.00,842.00,843.00,869.00,874.00,,,,,,,,,,,,,15.91,16.01,21.71,22.27,22.28,22.29,85.00,155.00,,,,,,,,,,,,,0.00,8837.16,5452.43,1413.94,3,4.00,874.00,874.00,874.00,400.00,400.00,400.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEFDQYJBwYPNi4zMTM0MDEwMg,True,,180.00,505.00,,,,,,,,,,,,,,,,,,,15.29,15.29,,,,,,,,,,,,,,,,,,0.00,5053.77,3546.61,2036.82,2,12.00,462.00,462.00,462.00,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEFDQYJBwYPNy4zMTM0MDEwMw,True,,180.00,505.00,,,,,,,,,,,,,,,,,,,15.29,15.29,,,,,,,,,,,,,,,,,,0.00,5053.77,3546.61,2036.82,2,12.00,468.00,468.00,468.00,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEFDQYJBwYPOC4zMTM0MDEwMQ,True,,180.00,505.00,,,,,,,,,,,,,,,,,,,15.29,15.29,,,,,,,,,,,,,,,,,,0.00,5053.77,3546.61,2036.82,2,12.00,467.00,467.00,467.00,180.00,180.00,180.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAg4JBAUJLjg5ODQ5NjAx,True,,100.00,140.00,240.00,275.00,539.00,540.00,670.00,,,,,,,,,,,,,,12.16,12.16,12.16,12.16,12.16,23.80,23.81,,,,,,,,,,,,,1152.63,1463.68,1047.07,556.59,1,9.00,599.00,599.00,599.00,350.00,350.00,350.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAgcOBAEMMC41MzEwMzEwMQ,True,,9.90,20.80,,,,,,,,,,,,,,,,,,,22.57,27.48,,,,,,,,,,,,,,,,,,101.28,1.46,1.46,1.46,12,1.00,20.80,20.80,20.80,9.90,9.90,9.90
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAgcOBQYBNC45MDI2MDEwMQ,True,215.20,489.10,516.20,870.20,870.30,963.00,963.10,983.00,,,,,,,,,,,,,10.91,12.75,12.93,15.30,20.16,25.16,65.16,65.16,,,,,,,,,,,,,3054.72,4454.17,3556.01,2059.08,3,6.00,983.30,983.30,983.30,499.00,499.00,499.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAQ8IAgEJNS44MDU0MDEwMQ,True,,575.60,830.90,831.00,1046.50,,,,,,,,,,,,,,,,,16.79,20.74,27.45,27.45,,,,,,,,,,,,,,,,7769.87,27745.84,26290.77,25112.17,3,4.00,1046.50,1046.50,1046.50,575.60,575.60,575.60
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAQUAAQ8BMi43OTAyMDEwMw,True,,235.00,365.00,366.00,395.00,,,,,,,,,,,,,,,,,17.89,22.29,59.98,59.98,,,,,,,,,,,,,,,,2888.28,4265.20,3233.11,3233.11,2,8.00,395.00,395.00,395.00,235.00,235.00,235.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAQUAAQMMMC43OTAyMDEwMg,True,,235.00,365.00,366.00,395.00,,,,,,,,,,,,,,,,,16.35,22.07,129.43,129.43,,,,,,,,,,,,,,,,3382.69,5732.83,4285.21,3146.73,2,8.00,390.00,390.00,390.00,235.00,235.00,235.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEGAQUAAwILNy43OTAyMDEwMQ,True,,235.00,370.00,371.00,400.00,,,,,,,,,,,,,,,,,18.93,20.46,80.33,80.33,,,,,,,,,,,,,,,,1603.85,4248.59,3218.33,3218.33,2,8.00,395.00,395.00,395.00,235.00,235.00,235.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEHBQIJBAEMMy45Njk4MDEwMQ,True,1.00,427.00,761.00,762.00,801.00,1180.00,1181.00,1220.00,1526.00,,,,,,,,,,,,18.51,18.91,19.80,19.80,19.94,21.61,27.61,27.61,27.61,,,,,,,,,,,,5827.03,17280.87,17280.87,13906.31,1,24.00,1391.00,1391.00,1391.00,891.00,891.00,891.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEHDAQOAgAPMC43OTAxMDEwNQ,True,,3.20,9.70,10.00,,,,,,,,,,,,,,,,,,32.37,34.62,62.52,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,1,24.00,8.10,8.10,8.10,3.20,3.20,3.20
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEHDAQOAgEOOC43OTA4MDEwMg,True,1.00,189.00,190.00,229.00,268.00,304.00,305.00,350.00,,,,,,,,,,,,,14.91,14.93,16.96,16.98,17.00,17.02,19.79,19.79,,,,,,,,,,,,,0.00,1633.46,1285.18,936.89,3,4.00,349.00,349.00,349.00,189.00,189.00,189.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEHDAQOAgEOOS43OTA4MDEwMQ,True,1.00,189.00,190.00,229.00,268.00,304.00,305.00,350.00,,,,,,,,,,,,,14.91,14.93,16.96,16.98,17.00,17.02,19.79,19.79,,,,,,,,,,,,,0.00,1633.46,1285.18,936.89,3,4.00,349.00,349.00,349.00,189.00,189.00,189.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAEHDAQOBQ8MMC41Mzg3MzEwMQ,True,,10.70,21.60,,,,,,,,,,,,,,,,,,,20.13,26.04,,,,,,,,,,,,,,,,,,125.01,2.48,2.48,2.48,12,1.00,21.40,21.40,21.40,10.40,10.40,10.40
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAELDAAJAgIOMC45NjczOTAwMQ,True,1.00,20.00,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,99999,,0.00,0.00,0.00,0.00,0.00,0.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAIEAA4NBgIPLjk2OTE1MTAz,True,1.00,156.00,268.00,269.00,280.00,311.00,537.00,538.00,549.00,675.00,,,,,,,,,,,14.45,15.15,16.53,16.54,16.72,17.25,22.79,29.77,29.77,29.77,,,,,,,,,,,3817.87,6994.06,6994.06,5878.79,1,24.00,610.00,610.00,610.00,311.00,311.00,311.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAIEBAYPAQ8WMjA0MDAxMDE,True,,163.00,164.00,225.00,226.00,265.00,265.10,283.00,283.10,288.00,,,,,,,,,,,,11.12,13.44,16.04,68.23,69.89,75.54,75.55,84.46,84.46,,,,,,,,,,,1577.95,2712.19,2360.17,2177.32,1,6.00,283.00,283.00,283.00,163.00,163.00,163.00
2/28/2023 5:00:00 AM,2/28/2023 12:00:00 AM,AAIEBAYPDgAWNTI0MDAxMzA,True,,155.00,239.40,239.50,266.00,266.10,289.30,,,,,,,,,,,,,,,15.09,15.10,20.76,20.77,23.02,23.02,,,,,,,,,,,,,,0.00,742.04,720.66,700.41,2,6.00,289.30,289.30,289.30,155.00,155.00,155.00
