datetime_beginning_utc,datetime_beginning_ept,area,hrly_da_demand_bid
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,MID_ATLANTIC_REGION,30180.0
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,WESTERN_REGION,53062.0
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,PJM_RTO,96177.0
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,MID_ATLANTIC_REGION,29428.0
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,WESTERN_REGION,52193.0
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,PJM_RTO,94441.0
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,MID_ATLANTIC_REGION,28164.0
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,WESTERN_REGION,50840.0
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,PJM_RTO,91292.0
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,MID_ATLANTIC_REGION,26402.0
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,WESTERN_REGION,49386.0
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,PJM_RTO,87297.0
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,MID_ATLANTIC_REGION,25052.0
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,WESTERN_REGION,47561.0
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,PJM_RTO,83648.0
