id,block_type,code_prm,p,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,MAR
82,normal,,2403,18,45,11,0,0,20,0,58,6,74,48,8,0,42,72,81,174,0,136,31,0,0,176,0,0
83,exclusive,13,1304,0,139,0,42,164,0,0,115,0,27,0,140,132,196,0,144,0,0,0,47,73,58,0,0,0
84,exclusive,10,2888,-60,-30,-60,-142,0,-83,0,-18,-75,0,0,0,0,0,0,-50,0,0,-164,0,0,-146,-99,-181,0.8
85,normal,,610,0,167,0,0,0,0,0,0,136,59,0,159,0,0,0,0,94,0,195,128,92,0,0,0,0.8
86,normal,,3468,-110,0,-39,-98,-192,0,0,-124,-188,-147,0,-180,0,0,-21,0,-51,0,-166,-79,0,0,-170,0,1
87,exclusive,14,2913,0,-33,10,0,39,0,-91,0,1,80,4,0,0,0,99,-17,0,0,0,-7,-73,100,-78,0,0
88,normal,,2330,-6,0,41,0,0,41,0,-33,0,-20,-8,0,0,0,83,0,-56,38,63,0,83,0,-48,0,0
89,normal,,-149,64,0,0,95,27,4,0,184,0,174,188,0,0,43,0,0,0,64,0,46,114,0,192,0,0.8
90,exclusive,4,736,0,-96,-58,0,-9,0,67,0,0,-8,0,0,-29,0,0,0,0,0,0,31,-9,28,0,0,1
91,exclusive,19,2934,0,0,54,76,85,18,-73,-70,-77,0,0,-65,59,0,89,23,96,16,-61,13,-39,0,0,-26,0.8
92,normal,,1150,0,-47,-25,55,0,0,0,-56,2,13,-44,62,88,0,0,-28,-18,0,0,74,-7,0,14,45,0.5
93,normal,,-450,0,-93,-135,-133,-12,0,0,-23,-144,0,-122,-156,-120,-10,-140,-30,-66,0,0,-37,-97,0,0,0,0.8
94,normal,,3699,27,0,0,53,0,0,45,0,0,134,2,174,196,0,179,0,104,0,0,0,109,0,0,175,0
95,exclusive,3,1276,0,0,-100,40,-49,0,-1,44,0,0,0,57,3,-50,-70,66,0,17,0,-66,0,-89,53,0,0.8
96,exclusive,12,-31,0,174,94,112,0,166,0,0,0,0,80,0,0,0,0,178,0,0,0,0,75,0,93,0,1
97,normal,,2466,-79,0,0,0,-182,-61,0,0,-168,-82,0,-156,-180,-51,0,-41,0,0,-46,0,0,0,-60,-4,1
98,exclusive,9,2838,-74,-193,-34,-196,0,0,0,0,-159,-157,-190,0,-88,0,-75,-118,-44,0,0,0,-67,-26,0,-138,0
99,normal,,-88,0,157,23,0,0,0,0,161,95,0,76,0,0,0,0,0,0,10,0,161,0,0,1,24,0
100,normal,,1477,-82,-120,0,0,-72,0,0,0,-158,0,0,-83,0,0,-72,0,0,0,-163,0,0,-56,0,-67,1
101,normal,,3064,-88,0,0,-50,-46,-150,0,-48,0,-93,-54,0,0,0,0,0,0,-47,-87,0,-183,-102,-58,0,0.8
102,exclusive,6,3922,-54,0,0,0,-59,0,-87,-91,21,0,0,-64,0,0,0,0,46,0,-44,38,97,0,75,0,0.5
103,exclusive,2,1120,0,0,0,33,47,0,0,-78,-2,0,0,-50,-11,73,0,0,0,-51,0,-100,0,0,-65,90,0
104,exclusive,11,3246,58,0,-2,40,0,66,0,-68,0,0,63,0,0,-87,-62,-96,0,0,-58,0,-100,0,74,54,0
105,exclusive,15,1962,-73,-125,-185,-184,0,-189,0,-94,-152,0,0,0,0,-130,0,-169,-197,0,0,-97,0,0,0,-137,0.5
106,exclusive,18,20,0,-47,0,45,35,0,0,0,-86,0,56,5,36,-24,58,0,0,92,9,0,-75,0,-2,12,0.8
107,normal,,-63,166,0,125,0,46,0,0,194,0,47,49,0,115,76,0,68,160,53,0,92,137,40,0,0,1
108,exclusive,10,398,-51,0,0,0,0,-118,0,-88,-23,-19,0,0,0,0,0,0,-135,-72,-77,-124,0,-89,0,-133,0.8
109,exclusive,3,3887,0,0,0,93,0,22,169,6,126,0,105,0,0,122,76,0,158,9,0,0,0,81,0,11,0
110,exclusive,4,1804,0,-86,15,-25,0,90,61,0,0,87,47,0,0,26,0,34,64,89,42,86,12,-28,-26,0,0.8
111,normal,,2430,-4,0,95,0,0,0,71,0,0,0,0,87,40,72,63,0,-13,0,0,0,0,-100,0,-63,0.8
112,normal,,2589,9,19,0,-29,0,0,5,-93,0,33,0,0,0,-59,67,5,-87,-48,0,74,-79,0,0,0,0.5
113,normal,,1225,-168,-42,-87,0,0,0,0,0,0,-132,0,-181,-126,0,0,0,0,0,0,-87,0,0,-76,-183,0
114,exclusive,11,2722,0,-177,-81,0,0,-94,0,-43,-20,-111,-70,0,-131,-164,0,-48,-152,-147,-83,-51,-10,-159,-33,0,1
115,normal,,598,50,0,0,0,0,0,75,51,67,27,-76,0,0,-23,-71,0,0,-45,0,-29,76,0,0,0,0.5
116,exclusive,9,1347,0,67,0,-37,2,0,0,100,-100,-18,54,40,-42,87,2,31,38,-49,0,-51,0,94,-82,-94,0.5
117,exclusive,11,811,0,0,87,0,0,68,-17,-68,96,-41,-52,0,81,0,0,0,45,0,-10,0,0,59,0,88,0.5
118,exclusive,1,174,0,0,0,142,0,0,183,199,133,0,0,0,199,122,0,47,0,7,0,0,0,2,0,135,0.5
119,exclusive,15,1373,0,88,198,32,180,23,0,0,0,0,5,0,0,0,0,163,0,79,32,169,179,157,0,0,0.5
120,normal,,1749,-97,0,-112,-49,0,0,-133,0,-176,-182,0,-76,0,-131,0,0,0,0,0,-40,0,-24,0,-139,0.5
121,exclusive,17,485,0,120,175,0,0,149,48,59,140,53,65,0,0,0,129,119,44,0,19,19,0,0,107,0,0.8
122,normal,,2977,0,88,74,0,39,-64,0,68,0,-72,-75,-64,-90,0,-97,0,42,0,0,0,53,0,3,-16,0.5
123,exclusive,8,2678,0,0,0,0,-196,-20,-195,0,-127,0,-13,-145,0,0,-148,0,0,0,0,0,0,0,0,-34,0.5
124,normal,,-467,193,176,166,39,36,30,168,0,43,0,0,0,0,157,183,0,7,0,0,137,0,191,190,0,0.8
125,exclusive,2,1373,0,41,0,0,47,-21,0,-98,0,0,0,0,0,77,0,0,76,-9,0,0,0,0,-18,0,0.8
126,normal,,2002,0,9,0,0,0,106,7,82,0,159,0,0,122,100,0,72,101,46,0,171,0,147,0,190,0.8
127,normal,,1113,36,74,0,0,0,0,100,0,0,0,0,77,0,99,0,189,58,78,0,194,175,0,0,87,1
128,exclusive,11,1022,0,95,-96,72,72,-69,-70,0,4,0,-54,-71,0,0,-50,-56,0,-56,2,0,0,-70,-13,-73,0.5
129,exclusive,5,2282,0,-26,18,58,-98,45,9,0,0,30,0,0,-98,0,0,57,0,76,0,0,-92,-21,0,0,0
130,normal,,673,0,0,0,0,0,-83,0,-61,-167,-33,-85,0,0,-69,-74,-197,-28,0,-116,-120,-122,0,0,-90,0
131,exclusive,13,3228,0,0,103,168,0,0,0,113,0,44,0,190,0,116,0,0,165,0,0,0,0,0,96,50,0.5
132,exclusive,1,2633,98,0,0,81,0,57,121,0,13,0,128,0,0,56,144,0,38,0,0,0,107,0,0,0,0.8
133,exclusive,19,685,0,-35,-27,-24,0,-17,35,0,0,0,-95,0,-68,-74,-32,0,0,-11,0,58,55,75,0,0,0.5
134,exclusive,5,2888,-96,0,-121,-134,0,-140,-152,0,0,-199,0,0,-69,0,0,0,-161,-97,0,-190,-21,0,0,-55,1
135,exclusive,16,756,44,142,189,175,0,198,67,0,0,8,90,100,0,141,0,3,91,154,0,0,9,0,0,0,0.8
136,exclusive,11,-167,0,0,0,0,36,0,0,0,0,0,137,72,0,110,0,169,0,15,0,32,0,107,0,100,0
137,exclusive,9,3418,82,-28,0,-81,0,0,0,0,-29,0,0,94,0,5,-64,65,20,0,61,0,-83,0,67,85,0.5
138,normal,,3708,0,0,-87,15,0,-1,0,0,0,7,0,0,0,0,-9,0,-93,-41,0,0,53,0,0,59,0.8
139,exclusive,7,-326,0,48,42,0,134,0,0,0,158,118,0,0,190,0,10,90,0,108,67,84,155,0,0,0,1
140,exclusive,13,2457,0,0,-136,-42,-166,0,-196,-140,-23,-20,0,-37,0,0,-72,0,-134,-110,0,-148,-159,-193,0,-138,0
141,exclusive,9,234,-176,0,0,0,-103,0,0,-85,-21,0,0,-52,-99,0,-81,-53,-100,0,0,0,0,0,-112,0,1
142,normal,,1795,0,0,0,0,0,0,53,0,198,0,0,0,0,114,0,0,0,0,15,175,183,197,0,0,0.8
143,normal,,935,2,169,0,0,0,94,0,0,153,0,0,0,147,0,0,188,129,75,199,133,0,157,0,0,0.8
144,normal,,1842,0,-179,-103,-53,0,-127,0,0,-164,0,0,-145,0,-13,0,-92,-197,-125,-127,0,-177,-129,-171,-70,0.8
145,normal,,-497,-52,0,81,0,61,77,0,0,10,0,0,-51,0,0,0,4,-31,19,0,-53,64,0,28,-12,0.8
146,normal,,1491,-34,-38,0,-136,0,0,0,-53,-135,0,-135,0,0,-120,-154,0,-17,-4,-125,0,0,-43,0,0,0.8
147,exclusive,13,3290,-119,0,-144,0,-124,-22,-34,-128,0,0,-100,-101,0,-76,0,0,0,-70,-144,-39,-12,0,-149,0,0.8
148,normal,,3538,0,0,0,-186,-76,0,0,0,-113,-57,0,0,0,-89,0,0,-36,0,0,-182,-119,-54,-9,-140,1
149,normal,,440,0,-68,0,0,0,0,0,0,0,0,-23,0,-10,0,0,0,-55,-110,-188,0,-116,0,0,-131,0.8
150,exclusive,14,-37,110,0,0,26,155,0,0,0,158,145,0,0,0,0,23,168,169,0,123,93,163,0,0,0,0
151,exclusive,4,2466,-132,0,0,-150,0,-183,0,0,-137,0,-182,0,-19,-131,-128,0,-2,-186,0,0,-164,0,-177,-163,1
152,normal,,3442,0,56,134,0,0,109,105,35,11,129,152,0,0,0,155,17,181,0,10,0,143,182,0,0,1
153,exclusive,15,3052,0,0,0,58,0,-72,0,12,0,0,0,0,93,-11,-17,63,0,0,0,19,16,0,-95,0,0
154,exclusive,9,3223,46,0,-14,-47,0,75,56,-85,88,77,0,22,0,17,0,0,0,-15,0,-16,50,0,0,-11,0
155,exclusive,6,767,0,0,0,0,0,0,0,0,-46,0,0,0,55,0,-71,-57,20,-46,35,0,-69,-86,84,-29,0.8
156,normal,,-483,0,133,0,0,0,0,132,0,83,165,0,162,121,0,35,0,106,0,0,0,177,0,0,171,0
157,exclusive,6,-423,0,-34,7,55,0,-5,0,49,-83,0,0,0,0,-29,80,0,0,29,-48,0,83,-62,0,98,0.5
158,exclusive,17,3633,-2,1,-35,0,0,-93,0,-25,-78,0,-52,0,-30,0,-6,91,0,84,0,0,0,0,0,42,1
159,exclusive,3,-186,0,0,-5,0,0,0,0,0,-22,0,0,0,-58,86,-92,39,-60,-25,-38,0,-39,0,0,-35,0.5
160,exclusive,13,2091,0,0,74,0,0,0,40,114,0,20,25,0,185,0,0,0,0,134,62,132,0,53,179,144,1
161,normal,,166,0,15,-21,0,0,0,0,-44,92,93,0,0,-26,39,-9,0,-29,-88,0,0,0,81,0,24,0
162,exclusive,10,2141,-24,-89,0,0,0,0,-132,-14,-111,-44,0,0,0,0,-108,-80,-33,0,-15,-112,-93,0,-178,0,1
163,normal,,1699,0,0,-28,0,0,-110,0,-114,0,0,0,-85,-157,0,-16,0,-66,0,0,-183,0,-88,0,0,0.5
164,normal,,-456,20,131,0,0,144,0,135,0,0,62,188,133,32,114,172,0,0,0,0,1,121,108,148,4,0
165,exclusive,15,1398,0,0,-10,-48,0,82,-29,-19,0,-7,0,-16,0,-76,0,0,-91,0,0,37,-1,-70,14,7,1
166,exclusive,2,3335,8,0,0,0,153,47,33,92,0,0,136,0,187,163,0,154,149,0,174,0,0,0,21,158,1
167,normal,,1986,152,56,0,63,0,183,0,0,198,4,0,158,131,57,0,116,49,0,172,0,0,0,0,0,0.5
168,exclusive,4,182,-5,16,0,0,0,93,10,-31,0,-30,-62,0,-56,74,0,0,-1,0,0,-54,11,0,36,0,1
169,normal,,1987,-167,0,-36,-196,-159,0,0,0,-168,-33,0,-104,0,0,0,0,0,0,-132,-171,0,0,0,0,0
170,normal,,2835,-191,0,-78,0,0,0,-43,-146,0,0,0,0,-140,-141,0,0,-172,0,0,0,0,-195,-75,-9,0.8
171,normal,,1413,0,-93,14,0,-69,48,0,38,21,9,96,-48,-97,27,75,60,0,-6,-71,0,65,0,-74,16,0
172,exclusive,18,2809,83,0,-96,82,-42,0,-53,34,0,-89,-92,26,0,0,-96,64,90,0,95,0,0,-89,-89,-60,0.8
173,exclusive,7,1893,0,0,0,-45,28,-38,0,-65,77,-9,99,51,77,0,0,0,-86,0,20,40,68,82,0,-82,0.8
174,exclusive,5,1145,0,0,-88,-16,66,0,-87,0,0,0,0,0,3,-95,44,26,21,14,-16,-2,0,0,5,0,1
175,normal,,1269,-80,-173,-16,-36,-124,-78,0,0,0,-198,0,0,-162,0,0,-144,0,0,-26,0,0,-55,-125,-123,1
176,normal,,1077,31,0,0,16,0,71,0,-39,-47,-55,19,0,0,-82,-91,72,0,-91,0,0,0,83,98,-71,0.8
177,exclusive,16,1921,0,0,32,72,0,-23,12,0,93,0,0,0,91,0,0,0,97,-41,-64,0,0,-34,52,55,0.8
178,normal,,325,0,11,-85,88,0,0,0,0,-41,0,29,34,63,-11,0,-91,31,-4,0,0,0,0,0,81,0
179,exclusive,17,2445,0,-192,0,0,-8,-177,-159,-166,-95,0,0,0,0,0,-70,-139,-82,-168,0,-58,-153,0,-143,-171,0.5
180,normal,,3045,0,0,-125,-94,0,-159,-75,-3,-120,0,-68,0,-137,-80,-97,0,0,0,-114,-108,0,0,0,0,0
181,normal,,1253,-167,-165,-3,0,-66,-198,-40,0,0,-116,-191,-104,-131,-116,-149,0,0,-146,-125,0,0,-169,-97,0,0
182,exclusive,10,2530,0,0,0,87,0,0,0,0,0,0,-6,-64,1,0,0,0,-43,0,-2,68,-85,98,26,21,0.5
183,exclusive,11,3232,0,58,42,0,142,169,55,0,86,0,7,0,190,0,0,0,56,0,0,0,74,0,18,24,0
184,exclusive,16,1755,0,0,-133,-27,-97,-11,-127,0,-30,-6,0,0,0,0,0,-1,-35,0,0,0,-94,-161,0,0,0.5
185,exclusive,5,3894,12,0,93,0,53,117,0,140,158,47,83,122,103,189,132,0,142,191,54,164,158,172,40,0,0.8
186,exclusive,5,3102,0,0,0,-83,0,0,0,0,68,0,-58,0,0,0,-44,79,0,0,57,-60,72,0,-54,0,1
187,normal,,2979,145,11,0,154,172,0,193,0,0,0,112,53,139,0,108,0,54,165,0,0,137,0,38,158,0.5
188,exclusive,9,3658,-62,0,0,0,-148,0,-51,-196,0,0,0,0,0,0,-2,-82,0,0,0,-101,-40,-101,0,0,0.5
189,normal,,727,97,0,0,0,72,-35,0,0,12,59,-51,97,0,0,0,4,-45,0,0,0,0,36,0,0,0
190,normal,,-343,-113,-108,-188,0,0,0,0,-62,0,0,0,0,0,-151,0,-12,-40,0,-170,-74,0,-149,0,0,0.5
191,normal,,-467,0,0,0,-139,0,0,-21,-176,-43,0,-81,0,-195,0,0,-12,-92,-47,0,0,0,0,0,0,1
192,normal,,113,-79,0,-97,-93,50,0,0,0,0,62,0,24,-59,0,9,0,-61,0,90,13,-6,50,94,0,0.8
193,exclusive,1,1383,0,0,0,0,199,87,0,51,156,0,0,0,0,142,0,0,0,0,52,0,0,25,116,0,1
194,exclusive,2,1734,0,-24,87,0,34,-75,81,0,27,-65,0,0,-78,20,0,52,0,0,54,31,-28,0,0,0,0
195,exclusive,9,2981,0,0,0,-33,-54,0,0,0,71,0,0,0,0,0,0,30,26,36,-54,0,24,47,0,0,0
196,normal,,28,0,-15,-70,-100,0,-48,-71,-12,-50,90,-17,43,0,0,0,0,0,86,-44,-12,0,0,0,0,0
197,exclusive,7,3428,28,0,0,0,136,0,159,27,115,65,0,0,178,196,0,103,0,111,47,150,139,161,0,0,1
198,exclusive,14,-472,26,0,145,0,102,157,0,0,0,0,157,0,0,0,0,82,180,60,89,118,88,0,57,40,0.5
199,exclusive,19,3654,-38,0,-69,0,68,-76,-76,66,-98,-24,83,0,-17,97,0,0,0,7,0,0,80,-89,-98,0,0.8
200,normal,,1649,0,0,-88,64,22,-81,94,0,0,0,38,0,0,-10,50,0,0,-51,0,0,0,43,0,0,0.5
201,exclusive,10,3150,0,0,0,-7,-75,-99,-116,-34,0,-85,-101,0,-4,-124,0,0,0,-12,0,-131,-101,0,0,-21,0.8
202,normal,,669,0,96,-22,-35,0,48,0,0,-62,0,54,53,81,-34,0,49,-9,0,0,-5,0,0,20,0,0.5
203,normal,,2134,52,-19,0,-89,0,-89,0,0,29,0,0,40,0,85,98,0,0,0,12,79,-20,0,0,-5,0.8
204,normal,,439,0,164,93,0,22,0,138,145,174,0,0,0,154,0,0,86,81,82,0,0,0,60,61,100,0.5
