id,complex_order_id,t,p,q
702,240,3,3914,127
703,240,6,2195,75
704,241,23,1118,-23
705,241,19,1898,-88
706,241,7,1991,-88
707,242,23,2440,-85
708,242,19,2199,-77
709,242,14,532,-68
710,243,2,-51,19
711,243,10,3358,70
712,243,16,2229,31
713,243,7,-436,100
714,244,24,1039,81
715,244,17,757,77
716,245,22,3291,133
717,245,3,1870,21
718,246,18,-439,143
719,246,15,1610,39
720,246,13,-241,16
721,247,19,-120,48
722,247,20,2441,49
723,247,23,62,118
724,248,19,-368,128
725,248,14,1311,50
726,248,10,3750,78
727,248,20,3451,63
728,249,3,1697,-126
729,249,13,2861,-103
730,249,14,1933,-77
731,249,17,160,-90
732,250,18,2589,30
733,250,21,1035,27
734,250,17,2726,133
735,250,2,3238,87
736,251,6,-377,-94
737,251,21,3773,-59
738,252,5,1010,88
739,252,1,2687,128
740,253,18,564,28
741,253,12,114,28
742,253,15,3483,51
743,254,23,2484,93
744,254,3,3222,95
745,254,20,2551,12
746,255,6,3640,139
747,255,17,2732,40
748,255,15,2265,130
749,255,6,3283,66
750,256,20,215,-59
751,256,20,1354,-93
752,256,1,2056,-143
753,256,15,3805,-103
754,257,23,2810,96
755,257,5,1891,22
756,257,12,541,97
757,258,3,1181,19
758,258,8,2342,129
759,258,1,-197,116
760,258,15,-291,91
761,259,23,1794,60
762,259,21,1328,56
763,259,24,-464,40
764,259,2,586,84
765,260,18,-330,-46
766,260,9,756,-33
767,260,20,-240,-125
768,260,11,872,-130
769,261,24,1542,-29
770,261,12,420,-85
771,261,3,1558,-59
772,261,17,3012,-63
773,262,9,-197,-34
774,262,24,1368,-69
775,262,5,3608,-141
776,263,16,3544,147
777,263,3,2747,100
778,263,13,3415,55
779,264,3,118,54
780,264,22,3368,44
781,265,16,3056,140
782,265,17,2124,116
783,265,10,2895,145
784,266,16,3631,34
785,266,5,1758,117
786,267,15,-1,36
787,267,24,164,32
788,267,6,3499,134
789,268,2,-455,71
790,268,23,1974,148
791,268,20,1845,12
792,268,20,2904,73
793,269,5,1980,59
794,269,6,3278,89
795,269,9,3829,66
796,269,22,-470,118
797,270,8,-358,106
798,270,23,874,84
799,270,17,3245,84
800,271,24,1132,-63
801,271,13,1417,-50
802,272,11,3266,-112
803,272,18,1657,-129
804,272,20,485,-125
805,273,4,1984,-32
806,273,14,2486,-144
807,273,13,1026,-26
808,274,19,1846,117
809,274,2,163,54
810,274,9,3576,108
811,275,6,2744,-15
812,275,10,1595,-95
813,276,10,-200,-50
814,276,9,2153,-42
815,277,4,6,-149
816,277,6,-214,-84
817,278,23,1551,133
818,278,7,3596,38
819,279,17,-397,-38
820,279,22,1736,-144
821,279,13,1036,-102
822,280,21,678,-125
823,280,2,2504,-96
824,281,15,985,89
825,281,9,3509,76
826,281,10,-308,25
827,281,12,2774,43
828,282,15,1327,65
829,282,6,565,141
830,282,19,-149,23
831,283,4,3373,-66
832,283,11,1960,-147
833,284,8,3898,-94
834,284,24,1871,-12
835,285,21,1580,-35
836,285,6,2423,-11
837,286,8,255,-88
838,286,11,1797,-39
839,286,23,1624,-65
840,287,17,3339,-81
841,287,21,-126,-138
842,287,1,1342,-68
843,287,4,3943,-134
844,288,7,542,-143
845,288,2,2133,-64
846,289,22,3849,-113
847,289,15,2687,-72
848,289,10,239,-17
849,289,5,3908,-125
850,290,7,2742,115
851,290,12,3148,75
852,291,14,-183,-38
853,291,6,1615,-140
854,291,7,-322,-12
855,291,8,5,-10
856,292,16,2830,-30
857,292,11,880,-35
858,292,11,832,-121
859,292,23,161,-76
860,293,12,3283,-128
861,293,2,3060,-124
862,294,1,2236,-92
863,294,8,3174,-17
864,294,23,2906,-53
865,294,10,3108,-25
866,295,21,3935,-106
867,295,12,3920,-109
868,295,7,2578,-11
869,295,22,2682,-57
870,296,13,3063,-142
871,296,4,-201,-60
872,296,15,3738,-139
873,297,1,1464,57
874,297,16,-39,87
875,297,17,997,92
876,298,10,3215,43
877,298,13,-200,110
878,299,21,1347,-58
879,299,1,2734,-99
880,300,10,3476,-131
881,300,14,2311,-97
882,300,6,209,-28
883,300,19,3335,-57
884,301,3,3849,-27
885,301,20,2453,-108
886,301,13,493,-44
887,302,21,1353,-38
888,302,5,3747,-35
889,302,19,-251,-47
890,302,15,3591,-18
891,303,6,-398,-118
892,303,13,2890,-63
893,303,16,1267,-132
894,303,12,2390,-74
895,304,18,2675,-122
896,304,3,3972,-129
897,305,7,2904,-89
898,305,19,625,-23
899,305,4,473,-130
900,305,22,2903,-44
901,306,15,3903,50
902,306,16,3630,24
903,307,23,829,48
904,307,23,1527,59
905,307,7,948,117
906,307,7,3942,77
907,308,5,2843,-120
908,308,18,3496,-98
909,308,11,-169,-120
910,309,23,169,141
911,309,5,3007,11
912,309,19,-408,46
913,310,22,3451,-29
914,310,12,3073,-120
915,310,14,2186,-98
916,311,15,177,-107
917,311,3,-87,-34
918,311,15,2044,-30
919,312,7,3153,-24
920,312,6,89,-35
921,312,9,2108,-134
922,313,2,1200,-143
923,313,9,1899,-59
924,314,18,-372,-36
925,314,24,1989,-67
926,315,2,1753,-12
927,315,17,2688,-49
928,315,11,1123,-140
929,316,3,156,105
930,316,19,2631,50
931,316,13,-407,93
932,316,17,-57,141
933,317,22,306,61
934,317,22,-243,64
935,317,17,1430,74
936,317,11,-102,134
937,318,5,3741,13
938,318,19,2013,126
939,318,20,-188,102
940,319,13,1287,103
941,319,17,3504,19
942,319,10,1895,48
943,320,8,1058,30
944,320,21,3604,146
945,321,14,2596,-67
946,321,23,1655,-52
947,322,15,3842,-81
948,322,23,1193,-143
949,322,9,1866,-142
950,323,5,-163,133
951,323,23,2399,49
952,324,20,-158,59
953,324,20,2010,89
954,325,4,1290,-12
955,325,21,1856,-124
956,326,1,536,100
957,326,18,-219,25
958,326,1,3765,41
959,327,2,2871,-35
960,327,3,705,-98
961,327,17,596,-48
962,328,9,3786,-101
963,328,7,1204,-35
964,328,9,-349,-105
965,328,4,1737,-76
966,329,12,1176,48
967,329,19,734,23
968,329,24,3318,149
969,330,23,2200,-95
970,330,1,3210,-126
971,330,23,3457,-72
972,330,23,4000,-104
973,331,2,701,-62
974,331,13,1123,-34
975,331,8,2144,-85
976,331,22,3752,-21
977,332,15,2414,58
978,332,8,1218,110
979,332,10,-154,54
980,333,2,-120,67
981,333,2,3467,80
982,333,12,3540,118
983,334,16,2018,77
984,334,14,2463,15
985,335,18,2246,-40
986,335,16,680,-130
987,335,15,1437,-10
988,336,9,1124,-120
989,336,4,1021,-72
990,336,3,1080,-76
991,337,19,3725,-92
992,337,19,-398,-72
993,338,24,3998,94
994,338,11,3256,16
995,338,6,2775,102
996,338,6,3990,144
997,339,15,691,-20
998,339,24,792,-24
999,339,13,1029,-26
1000,339,14,2195,-53
1001,340,16,1919,-86
1002,340,22,2178,-99
1003,340,23,3339,-42
1004,340,15,3437,-23
1005,341,11,2887,-85
1006,341,24,-123,-68
1007,341,9,2634,-85
1008,341,6,-159,-111
1009,342,3,1022,104
1010,342,20,1094,125
1011,342,23,3462,125
1012,343,6,3487,-51
1013,343,17,3504,-25
1014,343,7,-314,-113
1015,343,13,2852,-120
1016,344,1,2603,-83
1017,344,18,3376,-100
1018,345,23,3168,101
1019,345,5,1083,144
1020,345,15,2660,99
1021,345,9,-224,64
1022,346,1,2153,-113
1023,346,15,3385,-123
1024,347,21,1066,100
1025,347,18,3012,34
1026,348,1,1104,-57
1027,348,14,3015,-44
1028,348,10,3011,-149
1029,348,17,3441,-42
1030,349,20,3122,24
1031,349,21,-201,66
1032,349,1,2572,36
1033,349,7,2462,140
1034,350,9,-242,93
1035,350,22,2849,102
1036,350,12,2692,131
1037,351,14,2955,-90
1038,351,18,3883,-100
1039,351,13,302,-97
1040,352,18,1354,71
1041,352,23,3777,129
1042,352,2,-33,26
1043,353,20,3545,-53
1044,353,14,2708,-143
1045,353,23,2467,-140
1046,354,9,431,-78
1047,354,23,2552,-140
1048,354,8,-425,-66
1049,355,13,275,-136
1050,355,15,3097,-42
1051,355,4,1461,-90
1052,356,21,-172,-102
1053,356,7,-183,-138
1054,356,4,-113,-69
1055,357,15,-97,33
1056,357,23,-235,83
1057,358,22,2370,49
1058,358,7,450,101
1059,358,22,1146,23
1060,359,14,2047,-10
1061,359,15,1367,-19
1062,359,21,354,-89
1063,360,14,-95,-16
1064,360,6,3091,-128
1065,361,18,3806,-49
1066,361,4,84,-117
1067,362,4,3291,23
1068,362,2,1433,89
1069,363,6,1184,51
1070,363,19,3793,116
1071,364,6,-465,114
1072,364,13,-370,49
1073,364,11,3440,30
1074,365,24,2484,126
1075,365,21,2635,51
1076,365,24,3744,125
1077,365,19,1236,99
1078,366,9,-322,-25
1079,366,6,998,-112
1080,367,10,508,-99
1081,367,9,1915,-46
1082,367,12,2832,-77
1083,368,13,630,83
1084,368,12,-465,120
1085,369,2,2609,-66
1086,369,19,553,-117
1087,370,9,3824,139
1088,370,12,3998,55
1089,371,17,2406,-41
1090,371,14,1830,-95
1091,372,12,1845,136
1092,372,22,2204,141
1093,373,11,-13,-19
1094,373,9,3662,-99
1095,374,20,3112,-125
1096,374,3,2622,-68
1097,374,18,2149,-122
1098,374,7,3397,-50
1099,375,1,825,-55
1100,375,1,3855,-27
1101,376,23,632,87
1102,376,21,2650,79
1103,376,5,3544,130
1104,377,21,573,-83
1105,377,6,358,-13
1106,377,15,2373,-36
1107,378,21,1395,-125
1108,378,21,-15,-112
1109,378,5,3887,-129
1110,378,12,1052,-69
1111,379,5,1821,-117
1112,379,20,1924,-56
1113,380,3,594,81
1114,380,11,3986,84
1115,380,3,3020,132
1116,381,9,2350,-78
1117,381,7,-427,-115
1118,381,1,-333,-127
1119,382,22,835,-121
1120,382,6,550,-96
1121,382,16,2108,-59
1122,382,10,1388,-140
1123,383,20,-268,-54
1124,383,2,2892,-88
1125,384,22,3049,-43
1126,384,1,-158,-87
1127,385,2,1508,21
1128,385,10,2741,38
1129,385,7,2215,101
1130,385,1,2619,93
1131,386,14,-44,-104
1132,386,7,3502,-146
1133,386,6,125,-53
1134,386,7,2635,-59
1135,387,17,2509,-84
1136,387,2,1610,-105
1137,388,11,582,107
1138,388,6,1270,84
1139,389,5,1527,141
1140,389,21,369,28
1141,389,19,3685,53
1142,389,1,1475,145
1143,390,6,-18,129
1144,390,1,-148,130
1145,390,18,1469,37
1146,391,22,468,-128
1147,391,24,1488,-120
1148,391,23,2394,-119
1149,392,1,-273,-32
1150,392,15,228,-134
1151,392,18,718,-81
1152,392,23,993,-137
1153,393,5,-343,56
1154,393,12,3823,101
1155,393,20,1151,30
1156,394,10,3896,-38
1157,394,8,3004,-48
1158,395,18,703,123
1159,395,18,3686,126
1160,396,3,-122,28
1161,396,8,2237,91
1162,396,6,1544,135
1163,397,2,-291,107
1164,397,20,2306,40
1165,397,5,-16,145
1166,397,20,2869,76
1167,398,21,501,-132
1168,398,4,3332,-37
1169,399,2,99,-101
1170,399,24,3149,-113
1171,399,13,1421,-47
1172,400,22,329,82
1173,400,24,-374,144
1174,400,10,2905,12
